Serial,Event,&quot;Departamento&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2013-00235,FIRE,Managua,27/12/2013,25,0,0
2013-00234,FIRE,RAAN,23/12/2013,5,0,0
2013-00233,EXPLOSION,Managua,26/12/2013,0,33,0
2013-00232,FIRE,Rivas,23/12/2013,5,0,0
2013-00231,FLOOD,Matagalpa,17/12/2013,0,0,0
2013-00230,FLOOD,RAAN,20/12/2013,0,0,0
2013-00229,FLOOD,RAAN,16/12/2013,0,105,0
2013-00228,FIRE,Masaya,12/12/2013,5,0,70000
2013-00227,OTHER,RAAN,13/12/2013,0,0,0
2013-00226,OTHER,RAAN,08/12/2013,0,0,0
2013-00225,OTHER,RAAN,08/12/2013,0,0,0
2013-00224,OTHER,RAAN,08/12/2013,0,0,0
2013-00223,EPIDEMIC,RAAS,03/12/2013,0,8,0
2013-00222,DROUGHT,Masaya,28/11/2013,0,0,0
2013-00221,POLLUTION,RAAN,20/11/2013,0,0,0
2013-00220,FIRE,RAAN,17/11/2013,10,10,0
2013-00219,EPIDEMIC,Madriz,17/11/2013,0,10,0
2013-00218,EPIDEMIC,Boaco,14/11/2013,0,50,0
2013-00217,EPIDEMIC,Masaya,13/11/2013,0,1,0
2013-00216,FLOOD,Granada,11/11/2013,0,0,0
2013-00215,EPIDEMIC,Madriz,09/11/2013,0,7,0
2013-00214,EPIDEMIC,Managua,09/11/2013,0,0,0
2013-00213,EPIDEMIC,Boaco,07/11/2013,0,0,0
2013-00212,EPIDEMIC,Nueva Segovia,06/11/2013,0,1,0
2013-00211,EPIDEMIC,Nueva Segovia,06/11/2013,0,90,0
2013-00210,OTHER,RAAN,02/11/2013,0,0,0
2013-00209,OTHER,RAAN,02/11/2013,0,0,0
2013-00208,EPIDEMIC,RAAS,03/11/2013,0,0,0
2013-00207,EPIDEMIC,Matagalpa,03/11/2013,0,0,0
2013-00206,FIRE,Managua,31/10/2013,110,0,0
2013-00205,EPIDEMIC,Nueva Segovia,30/10/2013,0,0,0
2013-00204,EPIDEMIC,Masaya,29/10/2013,0,86,0
2013-00203,EPIDEMIC,Estelí,29/10/2013,0,130,0
2013-00202,EPIDEMIC,Rivas,27/10/2013,0,38,0
2013-00201,EPIDEMIC,Chontales,28/10/2013,0,60,0
2013-00200,POLLUTION,Chontales,27/10/2013,0,0,0
2013-00199,EPIDEMIC,Chinandega,27/10/2013,0,290,0
2013-00198,EPIDEMIC,RAAS,25/10/2013,0,5,0
2013-00197,EPIDEMIC,Jinotega,25/10/2013,0,4,0
2013-00196,EPIDEMIC,Madriz,25/10/2013,0,100,0
2013-00195,EPIDEMIC,León,23/10/2013,0,60,0
2013-00194,EPIDEMIC,Managua,23/10/2013,0,79,0
2013-00193,OTHER,RAAS,22/10/2013,0,20000,0
2013-00192,EPIDEMIC,León,21/10/2013,0,0,0
2013-00191,EPIDEMIC,Managua,21/10/2013,0,6,0
2013-00190,EPIDEMIC,Rivas,18/10/2013,0,0,0
2013-00189,EPIDEMIC,Managua,14/10/2013,0,528,0
2013-00188,FLOOD,RAAN,08/10/2013,0,50,0
2013-00187,FLOOD,Managua,06/10/2013,0,0,0
2013-00186,OTHER,Chinandega,05/10/2013,0,0,0
2013-00185,EPIDEMIC,RAAN,03/10/2013,0,87,0
2013-00184,EPIDEMIC,RAAN,03/10/2013,0,190,0
2013-00183,SPATE,Estelí,29/09/2013,0,0,0
2013-00182,STRUCTURE,Jinotega,29/09/2013,0,0,0
2013-00181,FLOOD,Managua,28/09/2013,0,980,0
2013-00180,TORNADO,Nueva Segovia,26/09/2013,30,0,0
2013-00179,TORNADO,Estelí,26/09/2013,0,20,0
2013-00178,POLLUTION,León,23/09/2013,0,0,0
2013-00177,STRUCTURE,Granada,22/09/2013,0,5,0
2013-00176,LANDSLIDE,Chinandega,22/09/2013,0,0,0
2013-00175,SPATE,Matagalpa,20/09/2013,0,0,0
2013-00174,STRUCTURE,Carazo,20/09/2013,10,0,0
2013-00173,FLOOD,León,19/09/2013,0,0,0
2013-00172,FLOOD,Jinotega,16/09/2013,30,0,0
2013-00171,TORNADO,RAAN,16/09/2013,0,30,0
2013-00170,FLOOD,Managua,16/09/2013,35,1755,0
2013-00169,FLOOD,Boaco,15/09/2013,0,425,0
2013-00168,FLOOD,RAAN,14/09/2013,0,35,0
2013-00167,STRUCTURE,León,08/09/2013,0,75,0
2013-00166,OTHER,RAAN,02/09/2013,0,43,0
2013-00165,OTHER,Chinandega,29/08/2013,0,0,0
2013-00164,OTHER,RAAN,25/08/2013,0,0,0
2013-00163,DROUGHT,Masaya,23/08/2013,0,0,0
2013-00162,STRUCTURE,RAAN,23/08/2013,0,0,0
2013-00161,LANDSLIDE,León,21/08/2013,0,0,300000
2013-00160,EXPLOSION,Chontales,13/08/2013,0,2,0
2013-00159,FLOOD,Masaya,12/08/2013,0,0,0
2013-00158,SPATE,RAAS,07/08/2013,0,0,0
2013-00157,FLOOD,RAAS,05/08/2013,0,0,0
2013-00156,STORM,RAAS,05/08/2013,0,0,0
2013-00155,FIRE,Rivas,06/08/2013,7,0,0
2013-00154,EPIDEMIC,Chinandega,02/08/2013,0,47,0
2013-00153,FLOOD,RAAN,01/08/2013,0,6079,0
2013-00152,PLAGUE,Jinotega,28/07/2013,0,1,0
2013-00151,EPIDEMIC,Jinotega,26/07/2013,0,13,0
2013-00150,FLOOD,RAAN,24/07/2013,0,18749,0
2013-00149,EPIDEMIC,Chontales,24/07/2013,0,16,0
2013-00148,SPATE,Chontales,23/07/2013,0,0,0
2013-00147,FLOOD,RAAS,23/07/2013,0,270,0
2013-00146,FLOOD,RAAS,22/07/2013,15,95,0
2013-00145,FLOOD,RAAS,22/07/2013,0,345,0
2013-00144,FLOOD,RAAS,21/07/2013,0,0,0
2013-00143,EPIDEMIC,Chontales,21/07/2013,0,60,0
2013-00142,EPIDEMIC,Chinandega,21/07/2013,0,32,0
2013-00141,EPIDEMIC,RAAS,18/07/2013,0,59,0
2013-00140,SPATE,RAAS,14/07/2013,0,0,0
2013-00139,EPIDEMIC,León,14/07/2013,0,15,0
2013-00138,EPIDEMIC,León,14/07/2013,0,27,0
2013-00137,EPIDEMIC,León,14/07/2013,0,37,0
2013-00136,EPIDEMIC,León,14/07/2013,0,31,0
2013-00135,EPIDEMIC,León,14/07/2013,0,47,0
2013-00134,POLLUTION,Carazo,09/07/2013,0,0,0
2013-00133,FIRE,Chontales,08/07/2013,10,0,0
2013-00132,FIRE,Jinotega,08/07/2013,5,5,20194
2013-00131,EPIDEMIC,León,10/07/2013,0,160,0
2013-00130,EPIDEMIC,Chinandega,09/08/2013,0,12,0
2013-00129,EPIDEMIC,Chinandega,09/07/2013,0,0,0
2013-00128,EPIDEMIC,Chinandega,09/07/2013,0,0,0
2013-00127,EPIDEMIC,Chinandega,09/07/2013,0,25,0
2013-00126,EPIDEMIC,Chontales,08/07/2013,0,24,0
2013-00125,EPIDEMIC,Chontales,08/07/2013,0,44,0
2013-00124,OTHER,Estelí,07/07/2013,0,0,0
2013-00123,PLAGUE,Boaco,06/07/2013,0,0,0
2013-00122,EPIDEMIC,Managua,06/07/2013,0,7,0
2013-00121,EPIDEMIC,Managua,06/07/2013,0,16,0
2013-00120,EPIDEMIC,Managua,06/07/2013,0,27,0
2013-00119,SPATE,Jinotega,02/07/2013,0,0,0
2013-00118,TORNADO,Masaya,30/06/2013,0,60,0
2013-00116,FLOOD,Managua,29/06/2013,100,2208,0
2013-00115,FLOOD,RAAN,25/06/2013,0,18749,0
2013-00114,STRUCTURE,León,25/06/2013,0,15,0
2013-00113,PLAGUE,Nueva Segovia,20/06/2013,0,0,0
2013-00112,ELECTRICSTORM,Río San Juan,19/06/2013,0,5,5000
2013-00111,EPIDEMIC,León,19/06/2013,0,5,0
2013-00110,OTHER,Masaya,19/06/2013,0,70,0
2013-00109,LANDSLIDE,RAAN,18/06/2013,0,645,0
2013-00108,STRUCTURE,Managua,15/06/2013,0,1,0
2013-00107,STRUCTURE,Chinandega,15/06/2013,0,5,0
2013-00106,STRUCTURE,Chinandega,15/06/2013,0,0,0
2013-00105,STRUCTURE,León,15/06/2013,0,15,0
2013-00104,LANDSLIDE,Managua,16/06/2013,0,45,0
2013-00103,DROUGHT,Boaco,13/06/2013,0,40000,0
2013-00102,LANDSLIDE,Managua,12/06/2013,0,0,0
2013-00101,EPIDEMIC,León,11/06/2013,0,22,0
2013-00100,FLOOD,Masaya,11/06/2013,0,0,0
2013-00099,STRUCTURE,Chinandega,11/06/2013,0,20000,0
2013-00098,STRUCTURE,Chinandega,10/06/2013,0,0,0
2013-00096,FLOOD,RAAS,10/06/2013,0,175,0
2013-00095,FIRE,RAAS,08/06/2013,0,300,0
2013-00094,FLOOD,Managua,06/06/2013,15,480,0
2013-00093,POLLUTION,Carazo,05/06/2013,0,450,0
2013-00092,LANDSLIDE,Matagalpa,05/06/2013,0,15000,0
2013-00091,LANDSLIDE,Managua,04/06/2013,0,165,0
2013-00090,STRUCTURE,Chontales,31/05/2013,0,0,0
2013-00089,SPATE,RAAN,31/05/2013,0,0,0
2013-00088,OTHER,Jinotega,20/05/2013,0,0,0
2013-00087,FIRE,Chinandega,29/05/2013,5,0,0
2013-00086,POLLUTION,Masaya,28/05/2013,0,0,0
2013-00085,FLOOD,Managua,30/05/2013,0,160,0
2013-00084,FLOOD,Managua,28/05/2013,0,545,0
2013-00083,FLOOD,Rivas,24/05/2013,0,135,0
2013-00082,POLLUTION,RAAN,22/05/2013,0,0,0
2013-00081,POLLUTION,Masaya,21/05/2013,0,0,0
2013-00080,DROUGHT,Madriz,20/05/2013,0,0,0
2013-00079,DROUGHT,Granada,19/05/2013,0,0,0
2013-00078,DROUGHT,Boaco,19/05/2013,0,500,0
2013-00077,FIRE,Chinandega,19/05/2013,10,0,0
2013-00076,FORESTFIRE,Nueva Segovia,19/05/2013,0,0,0
2013-00075,DROUGHT,Boaco,19/05/2013,0,0,0
2013-00074,OTHER,Rivas,17/05/2013,0,0,0
2013-00073,DROUGHT,Rivas,13/05/2013,0,0,0
2013-00072,OTHER,RAAN,10/05/2013,0,12000,0
2013-00071,STORM,Nueva Segovia,03/05/2013,0,330,0
2013-00070,DROUGHT,RAAS,30/04/2013,0,0,0
2013-00069,DROUGHT,Granada,30/04/2013,0,0,0
2013-00068,DROUGHT,Chinandega,30/04/2013,0,0,0
2013-00067,DROUGHT,Chinandega,30/04/2013,0,15000,0
2013-00066,DROUGHT,Chinandega,30/04/2013,0,4115,0
2013-00065,DROUGHT,Boaco,29/04/2013,0,0,0
2013-00064,DROUGHT,Masaya,29/04/2013,0,0,0
2013-00063,DROUGHT,Río San Juan,29/04/2013,0,0,0
2013-00062,DROUGHT,Rivas,25/04/2013,0,0,0
2013-00060,DROUGHT,Boaco,23/04/2013,0,12500,0
2013-00059,POLLUTION,Chinandega,22/04/2013,0,0,0
2013-00058,FORESTFIRE,Nueva Segovia,22/04/2013,0,0,0
2013-00057,OTHER,Chinandega,17/03/2013,0,0,0
2013-00056,POLLUTION,Boaco,14/04/2013,0,50000,0
2013-00055,FORESTFIRE,Masaya,12/04/2013,0,0,0
2013-00054,POLLUTION,Masaya,10/04/2013,0,0,0
2013-00053,OTHER,Jinotega,09/04/2013,0,0,0
2013-00052,FORESTFIRE,Jinotega,09/04/2013,0,0,0
2013-00051,DROUGHT,Carazo,04/04/2013,0,0,0
2013-00050,POLLUTION,Carazo,02/04/2013,0,3288,0
2013-00049,POLLUTION,Rivas,02/04/2013,0,0,0
2013-00048,POLLUTION,Rivas,01/04/2013,0,0,0
2013-00047,FORESTFIRE,Granada,26/03/2013,0,0,0
2013-00046,STORM,Madriz,26/03/2013,15,205,0
2013-00045,FORESTFIRE,Madriz,26/03/2013,0,0,0
2013-00044,FORESTFIRE,Nueva Segovia,24/03/2013,0,0,0
2013-00043,FORESTFIRE,Nueva Segovia,24/03/2013,0,0,0
2013-00042,FORESTFIRE,Nueva Segovia,24/03/2013,0,0,0
2013-00041,FORESTFIRE,Nueva Segovia,21/03/2013,0,0,0
2013-00040,FORESTFIRE,Nueva Segovia,21/03/2013,0,0,0
2013-00039,FORESTFIRE,Jinotega,21/03/2013,0,0,0
2013-00038,FIRE,Managua,16/03/2013,5,0,42000
2013-00037,DROUGHT,Chinandega,13/03/2013,0,14000,0
2013-00036,DROUGHT,Madriz,11/03/2013,0,0,0
2013-00035,OTHER,Managua,09/03/2013,0,30,0
2013-00034,POLLUTION,Jinotega,07/03/2013,0,0,0
2013-00033,POLLUTION,Estelí,07/03/2013,0,1200,0
2013-00032,OTHER,Boaco,07/03/2013,0,0,0
2013-00031,STRUCTURE,RAAN,27/02/2013,0,0,0
2013-00030,POLLUTION,León,22/02/2013,0,0,0
2013-00029,POLLUTION,Madriz,22/02/2013,0,0,0
2013-00028,SPATE,Boaco,17/02/2013,0,0,0
2013-00027,FIRE,Matagalpa,18/02/2013,0,0,0
2013-00026,FIRE,Matagalpa,16/02/2013,1,0,0
2013-00025,OTHER,Chinandega,15/02/2013,0,0,0
2013-00024,OTHER,Chinandega,15/02/2013,0,0,0
2013-00023,OTHER,Chinandega,15/02/2013,0,0,0
2013-00022,PLAGUE,Matagalpa,15/02/2013,0,0,0
2013-00021,PLAGUE,Estelí,15/02/2013,0,0,0
2013-00020,PLAGUE,Jinotega,15/02/2013,0,0,0
2013-00019,DROUGHT,Chinandega,10/02/2013,0,0,0
2013-00018,DROUGHT,Chinandega,10/02/2013,0,7672,0
2013-00017,DROUGHT,Estelí,10/01/2013,0,4250,0
2013-00016,FIRE,RAAS,10/02/2013,25,0,0
2013-00015,FORESTFIRE,León,03/02/2013,0,0,0
2013-00014,PLAGUE,Jinotega,29/01/2013,0,0,0
2013-00013,FIRE,RAAS,27/01/2013,10,0,0
2013-00012,SPATE,RAAN,22/01/2013,0,500,0
2013-00011,OTHER,Río San Juan,20/01/2013,0,0,0
2013-00010,STORM,León,10/01/2013,0,0,0
2013-00009,PLAGUE,Jinotega,09/01/2013,0,0,0
2013-00008,EPIDEMIC,Granada,08/01/2013,0,5,0
2013-00007,EPIDEMIC,Granada,08/01/2013,0,0,0
2013-00006,STORM,Jinotega,08/01/2013,0,5000,0
2013-00005,PLAGUE,Nueva Segovia,04/01/2013,0,0,0
2013-00004,PLAGUE,Nueva Segovia,04/01/2013,0,0,0
2013-00003,FIRE,León,02/01/2013,5,0,800000
2013-00002,FIRE,Chinandega,01/01/2013,5,0,0
2013-00001,EXPLOSION,Managua,01/01/2013,0,0,0
2012-00118,PLAGUE,Estelí,29/12/2012,0,0,0
2012-00117,POLLUTION,Chinandega,28/12/2012,0,0,0
2012-00116,POLLUTION,Chinandega,28/12/2012,0,0,0
2012-00115,POLLUTION,Chinandega,27/12/2012,0,0,0
2012-00114,SPATE,RAAN,25/12/2012,0,0,0
2012-00113,FIRE,Estelí,19/12/2012,285,0,498545.9
2012-00112,DROUGHT,Carazo,18/12/2012,0,0,0
2012-00111,POLLUTION,Madriz,18/12/2012,0,1570,0
2012-00110,POLLUTION,Managua,13/12/2012,0,0,0
2012-00109,POLLUTION,Rivas,06/12/2012,0,0,0
2012-00108,EPIDEMIC,Managua,03/12/2012,0,66,0
2012-00107,PLAGUE,Jinotega,2012/11/31,0,0,0
2012-00106,FIRE,Managua,22/11/2012,5,0,0
2012-00105,POLLUTION,Chontales,15/11/2012,0,0,0
2012-00104,LANDSLIDE,León,06/11/2012,0,0,0
2012-00103,SPATE,RAAN,24/10/2012,0,0,0
2012-00102,FLOOD,Granada,24/10/2012,0,545,0
2012-00101,STRUCTURE,Matagalpa,22/10/2012,0,0,96355257
2012-00100,SPATE,Estelí,21/10/2012,5,60,0
2012-00099,SPATE,RAAN,21/10/2012,0,0,0
2012-00098,SPATE,Matagalpa,21/10/2012,0,0,0
2012-00097,FLOOD,Managua,20/10/2012,0,10,0
2012-00096,EPIDEMIC,Managua,17/10/2012,0,66,0
2012-00095,POLLUTION,Chinandega,21/09/2012,0,0,0
2012-00094,STRUCTURE,Boaco,20/09/2012,0,0,1261564
2012-00093,PLAGUE,Nueva Segovia,17/09/2012,0,0,0
2012-00092,FLOOD,Managua,16/09/2012,0,90,0
2012-00091,DROUGHT,Chinandega,09/09/2012,0,20000,0
2012-00090,POLLUTION,Chinandega,08/09/2012,0,0,0
2012-00089,EPIDEMIC,Jinotega,07/09/2012,0,800,0
2012-00088,POLLUTION,Masaya,07/09/2012,0,4000,0
2012-00087,STRUCTURE,RAAS,30/08/2012,0,0,54875474
2012-00086,STRUCTURE,Matagalpa,29/08/2012,0,0,0
2012-00085,FLOOD,Managua,28/08/2012,0,65,0
2012-00084,STRUCTURE,RAAN,23/08/2012,0,0,0
2012-00083,EPIDEMIC,León,21/08/2012,0,0,0
2012-00082,EPIDEMIC,León,21/08/2012,0,1,0
2012-00081,EPIDEMIC,León,21/08/2012,0,2,0
2012-00080,EPIDEMIC,León,21/08/2012,0,2,0
2012-00079,EPIDEMIC,León,21/08/2012,0,5,0
2012-00078,EPIDEMIC,León,21/08/2012,0,33,0
2012-00077,OTHER,León,15/08/2012,0,20075,0
2012-00076,OTHER,Boaco,15/08/2012,0,0,0
2012-00075,FLOOD,Masaya,11/08/2012,0,0,0
2012-00074,RAIN,RAAN,11/08/2012,0,0,0
2012-00073,SPATE,Boaco,11/08/2012,0,50,42212
2012-00072,DROUGHT,Chinandega,01/08/2012,0,0,0
2012-00071,PLAGUE,Estelí,19/07/2012,0,0,0
2012-00070,OTHER,Carazo,19/07/2012,0,0,0
2012-00069,ELECTRICSTORM,Estelí,18/07/2012,0,0,0
2012-00068,OTHER,Nueva Segovia,15/07/2012,0,0,0
2012-00067,TORNADO,RAAS,13/07/2012,0,25,0
2012-00066,FIRE,RAAS,13/07/2012,5,0,0
2012-00065,POLLUTION,León,11/07/2012,0,0,0
2012-00064,DROUGHT,Matagalpa,10/07/2012,0,475,0
2012-00063,FLOOD,Managua,10/07/2012,0,25,0
2012-00062,SPATE,RAAN,09/07/2012,0,0,0
2012-00061,SPATE,RAAN,09/07/2012,0,0,0
2012-00060,RAIN,Carazo,09/07/2012,0,0,0
2012-00059,FLOOD,RAAS,09/07/2012,0,255,0
2012-00058,EPIDEMIC,Jinotega,06/07/2012,0,3000,0
2012-00057,SPATE,Estelí,29/06/2012,0,0,0
2012-00056,RAIN,Jinotega,20/06/2012,0,0,0
2012-00055,FLOOD,Madriz,18/06/2012,0,20,0
2012-00054,SPATE,Madriz,18/06/2012,0,0,0
2012-00053,SPATE,Boaco,18/06/2012,0,70,0
2012-00052,FLOOD,Estelí,18/06/2012,0,0,0
2012-00051,SPATE,Estelí,18/06/2012,0,0,0
2012-00050,RAIN,Jinotega,10/06/2012,0,0,0
2012-00049,LANDSLIDE,Estelí,07/06/2012,0,0,127713.92
2012-00048,FLOOD,Managua,05/06/2012,0,0,0
2012-00047,FLOOD,Managua,04/06/2012,0,150,0
2012-00046,FLOOD,Matagalpa,01/06/2012,0,760,0
2012-00045,FLOOD,Managua,30/05/2012,20,5305,0
2012-00044,STRONGWIND,León,28/05/2012,0,0,0
2012-00043,TORNADO,Managua,26/05/2012,0,25,0
2012-00042,SPATE,Estelí,25/05/2012,0,0,0
2012-00041,LANDSLIDE,Jinotega,25/05/2012,0,0,0
2012-00040,SPATE,Estelí,23/05/2012,0,0,0
2012-00039,STORM,Nueva Segovia,23/05/2012,130,140,0
2012-00038,SPATE,Madriz,22/05/2012,0,0,0
2012-00037,FLOOD,Madriz,22/05/2012,0,0,0
2012-00036,RAIN,Madriz,22/05/2012,0,0,0
2012-00035,FLOOD,Estelí,22/05/2012,0,0,0
2012-00034,FLOOD,Estelí,22/05/2012,0,0,0
2012-00033,FLOOD,Estelí,22/05/2012,0,0,0
2012-00032,POLLUTION,Río San Juan,21/05/2012,0,0,0
2012-00031,FLOOD,Nueva Segovia,21/05/2012,30,75,0
2012-00030,FLOOD,Managua,21/05/2012,25,2090,0
2012-00029,OTHER,Granada,20/05/2012,0,0,0
2012-00028,SPATE,Managua,18/05/2012,0,0,0
2012-00027,RAIN,Estelí,16/05/2012,0,0,0
2012-00026,FIRE,Estelí,2012/4/31,0,5,50
2012-00025,POLLUTION,Masaya,01/05/2012,0,0,0
2012-00024,EPIDEMIC,Jinotega,01/05/2012,0,2,0
2012-00023,EPIDEMIC,Jinotega,01/05/2012,0,2,0
2012-00022,EPIDEMIC,Jinotega,01/05/2012,0,3,0
2012-00021,EPIDEMIC,Jinotega,01/05/2012,0,7,0
2012-00020,DROUGHT,Carazo,26/04/2012,0,36200,0
2012-00019,FIRE,Managua,16/04/2012,5,0,0
2012-00018,FIRE,Granada,12/04/2012,50,0,77.253
2012-00017,POLLUTION,Chinandega,09/04/2012,0,16,0
2012-00016,HAILSTORM,Madriz,08/04/2012,0,205,0
2012-00015,HAILSTORM,Managua,08/04/2012,10,800,0
2012-00014,HAILSTORM,Estelí,03/04/2012,0,160,0
2012-00013,POLLUTION,Chinandega,16/03/2012,0,1000,0
2012-00012,FORESTFIRE,Chinandega,16/03/2012,0,0,0
2012-00011,DROUGHT,Masaya,16/03/2012,0,0,0
2012-00010,POLLUTION,Jinotega,15/03/2012,0,0,0
2012-00009,FORESTFIRE,Chinandega,15/03/2012,0,0,0
2012-00008,EXPLOSION,Masaya,28/02/2012,0,0,0
2012-00007,RAIN,Jinotega,16/02/2012,0,0,0
2012-00006,RAIN,RAAS,09/02/2012,0,0,0
2012-00005,DROUGHT,Managua,17/01/2012,0,250,0
2012-00004,FLOOD,Granada,16/01/2012,0,120,0
1997-00031,POLLUTION,Masaya,19/12/1997,0,7500,0
