Serial,Event,&quot;Departamento&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2000-00049,SPATE,León,02/10/2000,0,100,0
2004-00013,FIRE,Estelí,13/05/2004,0,0,300000
2000-00048,FLOOD,Chinandega,30/09/2000,0,0,0
2004-00012,EXPLOSION,Chinandega,16/05/2004,0,0,0
2004-00011,FORESTFIRE,Nueva Segovia,13/04/2004,0,0,0
2000-00047,SPATE,Madriz,30/09/2000,0,0,0
2000-00046,LANDSLIDE,Boaco,30/09/2000,5,0,0
2000-00045,SPATE,Matagalpa,30/09/2000,0,0,0
2000-00044,FIRE,Estelí,10/09/2000,5,0,0
2000-00043,FIRE,Chinandega,07/09/2000,20,10,0
2000-00042,DROUGHT,Chinandega,05/09/2000,0,200,0
2004-00010,FORESTFIRE,Nueva Segovia,11/04/2004,0,0,0
2000-00041,STORM,Managua,17/09/2000,0,70,0
2000-00040,DROUGHT,Boaco,18/08/2000,0,0,0
2000-00039,DROUGHT,Madriz,18/08/2000,0,14000,0
2000-00038,FIRE,Managua,11/07/2000,5,0,100000
2000-00037,FIRE,Managua,07/07/2000,5,0,0
2000-00036,FIRE,Rivas,02/07/2000,0,5,1573.56
2000-00035,DROUGHT,Chinandega,18/07/2000,0,3210,0
2000-00034,DROUGHT,Estelí,13/07/2000,0,6000,0
2000-00033,EARTHQUAKE,Carazo,08/07/2000,0,40,0
2004-00009,OTHER,Chontales,20/04/2004,0,0,0
2000-00032,EARTHQUAKE,Granada,08/07/2000,160,750,0
2004-00008,OTHER,Boaco,12/04/2004,0,0,0
2004-00007,FORESTFIRE,Managua,10/03/2004,0,10,0
2000-00031,EARTHQUAKE,Masaya,07/07/2000,2865,12475,0
2004-00006,FORESTFIRE,Masaya,10/03/2004,0,0,0
2000-00030,EARTHQUAKE,Masaya,06/07/2000,0,0,0
2004-00005,POLLUTION,Masaya,02/03/2004,0,0,0
2004-00004,EXPLOSION,León,28/03/2004,0,10,3177.2
2000-00029,FLOOD,RAAS,21/06/2000,0,63375,0
2000-00028,DROUGHT,Carazo,04/06/2000,0,0,0
2000-00027,STORM,León,02/06/2000,5,0,0
2000-00026,SPATE,Estelí,24/05/2000,0,50000,0
2000-00025,RAIN,Madriz,21/05/2000,10,0,0
2000-00024,SPATE,Managua,17/05/2000,0,0,0
2000-00023,TORNADO,Jinotega,15/05/2000,500,0,0
2000-00022,FORESTFIRE,Managua,03/05/2000,0,0,3177.12
2000-00021,FIRE,Managua,02/05/2000,5,0,100000
2004-00003,POLLUTION,Boaco,07/01/2004,0,0,0
2000-00020,RAIN,Granada,16/05/2000,10,0,0
2000-00019,STORM,Chontales,16/05/2000,0,75,0
2000-00018,SPATE,Managua,11/05/2000,0,0,0
2000-00017,ERUPTION,Chinandega,17/05/2000,0,14,0
2000-00016,STRONGWIND,Masaya,11/04/2000,0,0,0
2000-00015,STORM,Chinandega,17/04/2000,0,0,0
1998-00018,FLOOD,Chinandega,15/09/1998,0,0,0
1998-00017,RAIN,Carazo,06/09/1998,0,10,0
1998-00016,FLOOD,Matagalpa,01/06/1998,0,500,47710
1998-00015,FORESTFIRE,Nueva Segovia,26/04/1998,0,0,0
1998-00014,DROUGHT,Madriz,30/04/1998,0,1600,0
2000-00014,FORESTFIRE,León,29/03/2000,0,0,0
2000-00013,FIRE,Managua,15/03/2000,10,5,0
2000-00012,FIRE,Matagalpa,15/03/2000,5,0,0
2000-00011,FIRE,Managua,13/03/2000,0,5,0
2000-00010,FIRE,Managua,06/03/2000,5,0,0
2000-00009,FIRE,Granada,03/03/2000,5,0,0
2000-00008,DROUGHT,RAAS,10/02/2000,0,0,0
2000-00007,FIRE,Managua,10/02/2000,5,0,25000
2000-00006,FIRE,Managua,03/02/2000,5,0,0
2000-00005,STRONGWIND,Estelí,17/01/2000,0,30,0
2000-00004,STRONGWIND,Madriz,17/01/2000,0,100,0
2000-00003,STRONGWIND,Jinotega,16/01/2000,0,150,0
2000-00002,ERUPTION,Chinandega,23/01/2000,0,0,0
2000-00001,FIRE,Managua,18/01/2000,5,0,20242.91
1998-00013,POLLUTION,Matagalpa,29/04/1998,0,0,0
1998-00012,FORESTFIRE,Río San Juan,29/04/1998,0,0,0
1998-00011,FORESTFIRE,Managua,25/04/1998,0,0,0
1998-00010,FIRE,Managua,17/04/1998,0,0,0
1998-00009,STRONGWIND,Chontales,26/03/1998,0,150,0
1998-00008,FLOOD,Matagalpa,04/03/1998,0,0,0
1998-00007,FORESTFIRE,RAAS,22/02/1998,0,0,0
1998-00006,PLAGUE,Estelí,14/02/1998,0,0,0
1998-00005,FORESTFIRE,Chinandega,11/01/1998,0,0,0
1998-00004,EXPLOSION,Managua,06/01/1998,0,0,0
1998-00003,EPIDEMIC,RAAN,30/01/1998,0,0,0
1998-00002,STRONGWIND,Rivas,03/01/1998,0,500,0
1998-00001,TORNADO,Managua,29/01/1998,0,40,0
2001-00070,FLOOD,RAAN,23/12/2001,0,0,0
2001-00069,FLOOD,RAAN,23/12/2001,1000,0,0
2001-00068,FLOOD,RAAN,11/11/2001,5172,6896,0
2001-00067,FLOOD,RAAN,11/11/2001,5035,14000,0
2001-00066,FLOOD,RAAN,30/10/2001,0,100,0
2001-00065,FLOOD,RAAN,29/10/2001,210,0,0
2001-00064,FLOOD,RAAN,26/10/2001,0,500,0
2001-00063,FLOOD,Granada,26/10/2001,0,210,0
2001-00062,FLOOD,RAAN,02/10/2001,0,10,2193.96
2001-00061,FLOOD,RAAN,20/09/2001,0,0,0
2001-00060,FLOOD,Nueva Segovia,09/09/2001,0,85,0
2001-00059,DROUGHT,Matagalpa,23/08/2001,0,0,0
2001-00058,SPATE,Managua,30/07/2001,0,0,750000
2001-00057,TORNADO,Nueva Segovia,19/07/2001,0,0,0
2001-00056,DROUGHT,Matagalpa,19/07/2001,0,0,0
2001-00055,DROUGHT,Matagalpa,19/07/2001,0,0,0
2001-00054,DROUGHT,León,11/07/2001,0,50000,0
2004-00002,POLLUTION,RAAS,05/02/2004,0,0,0
2001-00053,DROUGHT,Matagalpa,11/07/2001,0,750,0
2001-00052,FLOOD,RAAN,10/07/2001,300,0,0
2001-00051,DROUGHT,León,10/07/2001,0,0,0
2004-00001,POLLUTION,Matagalpa,07/01/2004,0,0,0
2001-00050,DROUGHT,Matagalpa,10/07/2001,0,12000,0
2001-00049,DROUGHT,Boaco,10/07/2001,0,0,0
2001-00048,DROUGHT,Estelí,10/07/2001,0,0,0
2001-00047,STORM,Managua,26/07/2001,0,0,0
2001-00046,DROUGHT,Nueva Segovia,21/07/2001,0,0,0
2001-00045,DROUGHT,Madriz,21/07/2001,0,0,0
2007-00096,FIRE,Madriz,27/12/2007,0,0,0
2007-00095,FIRE,Managua,23/12/2007,5,0,50000
2007-00094,FIRE,Managua,15/12/2007,0,10,0
2007-00093,FIRE,RAAN,22/10/2007,0,0,26695.99
2007-00092,FIRE,Matagalpa,03/10/2007,130,0,214110.98
2007-00091,FIRE,Managua,02/10/2007,0,7,749589.06
2007-00090,EPIDEMIC,Nueva Segovia,24/10/2007,0,0,0
2007-00089,EPIDEMIC,Granada,24/10/2007,0,0,0
2007-00088,EPIDEMIC,Estelí,24/10/2007,0,0,0
2007-00087,EPIDEMIC,Managua,24/10/2007,0,0,0
2007-00086,EPIDEMIC,León,24/10/2007,0,0,0
2007-00085,EPIDEMIC,Chinandega,24/10/2007,0,0,0
2007-00084,EPIDEMIC,Chinandega,24/10/2007,0,0,0
2007-00083,FLOOD,Chinandega,20/10/2007,0,0,0
2007-00082,FLOOD,Rivas,20/10/2007,0,0,0
2007-00081,SPATE,Matagalpa,19/10/2007,0,0,0
2007-00080,SPATE,Matagalpa,19/10/2007,0,0,0
2007-00079,FLOOD,León,13/10/2007,0,0,0
2007-00078,FLOOD,Granada,13/10/2007,0,285,0
2007-00077,FLOOD,Nueva Segovia,13/10/2007,0,0,0
2007-00076,SPATE,Nueva Segovia,13/10/2007,0,0,0
2007-00075,SPATE,Nueva Segovia,13/10/2007,0,0,0
2007-00074,FLOOD,Nueva Segovia,13/10/2007,0,0,0
2001-00044,DROUGHT,Matagalpa,21/07/2001,0,0,0
2001-00043,SPATE,Chontales,21/07/2001,0,0,0
2001-00042,FLOOD,RAAN,20/07/2001,6500,0,0
2001-00041,FLOOD,RAAS,19/07/2001,0,850,0
2001-00040,SPATE,RAAS,19/07/2001,0,0,0
2001-00039,DROUGHT,Nueva Segovia,13/07/2001,0,0,0
2001-00038,DROUGHT,León,13/07/2001,0,0,0
2001-00037,DROUGHT,León,13/07/2001,0,0,0
2001-00036,FLOOD,RAAS,13/07/2001,0,200,0
2001-00035,FLOOD,RAAS,13/07/2001,0,0,0
2001-00034,DROUGHT,Madriz,09/07/2001,0,0,0
2001-00033,FLOOD,RAAN,13/07/2001,0,675,0
2001-00032,EARTHQUAKE,Nueva Segovia,13/06/2001,25,350,0
2001-00031,SPATE,Managua,03/06/2001,5,0,0
2001-00030,STRONGWIND,Managua,20/05/2001,0,0,0
2001-00029,FLOOD,Managua,20/05/2001,5,45,0
2001-00028,FLOOD,Nueva Segovia,20/05/2001,0,50,0
2001-00027,FIRE,Managua,18/05/2001,5,0,0
2001-00026,FIRE,Managua,18/05/2001,5,0,0
2001-00025,TORNADO,Managua,18/05/2001,0,5,0
2001-00024,STRONGWIND,Managua,12/02/2001,0,0,0
2001-00023,FIRE,Managua,16/05/2001,7,0,0
2001-00022,FIRE,Matagalpa,13/04/2001,50,0,5245.8
2001-00021,FORESTFIRE,Nueva Segovia,12/03/2001,0,0,480000
2001-00020,FORESTFIRE,Nueva Segovia,12/03/2001,0,0,300000
2001-00019,FIRE,Managua,17/03/2001,5,0,0
2001-00018,FORESTFIRE,Madriz,16/03/2001,0,0,0
2001-00017,FIRE,Madriz,16/03/2001,5,0,188265.77
2001-00016,STRONGWIND,Estelí,16/02/2001,0,50,0
2001-00015,STRONGWIND,Managua,13/02/2001,0,6000,0
2001-00014,FIRE,León,12/02/2001,50,0,0
2001-00013,STRONGWIND,León,12/02/2001,0,0,0
2001-00012,STRONGWIND,Managua,09/02/2001,0,0,0
2007-00073,SPATE,Nueva Segovia,13/10/2007,0,0,0
2001-00011,STRONGWIND,Managua,11/02/2001,0,60,0
2007-00072,FLOOD,León,12/10/2007,5,0,0
2007-00071,FLOOD,Jinotega,12/10/2007,0,0,0
2007-00070,FLOOD,Chinandega,12/10/2007,0,0,0
2007-00069,LANDSLIDE,Matagalpa,11/10/2007,0,10,0
2007-00068,FLOOD,Matagalpa,11/10/2007,0,0,0
2001-00010,STRONGWIND,Jinotega,11/02/2001,0,50,0
2007-00067,FLOOD,Matagalpa,11/10/2007,0,0,0
2001-00009,EXPLOSION,Managua,26/02/2001,0,0,0
2001-00008,FIRE,Managua,30/01/2001,5,0,0
2001-00007,FIRE,Chinandega,23/02/2001,10,0,0
2001-00006,STRONGWIND,Nueva Segovia,25/01/2001,0,0,0
2001-00005,FIRE,Chontales,13/01/2001,0,5,2291.68
2001-00004,FIRE,Managua,11/01/2001,5,0,0
2001-00003,FORESTFIRE,Masaya,26/01/2001,0,0,0
2001-00002,STRONGWIND,Carazo,07/01/2001,0,0,0
2001-00001,ERUPTION,Masaya,02/01/2001,0,1500,0
2007-00066,FLOOD,León,11/10/2007,0,15,0
2007-00065,FLOOD,León,11/10/2007,0,0,0
2007-00064,FLOOD,Granada,11/10/2007,0,100,0
2007-00063,FLOOD,Managua,11/10/2007,0,0,0
2007-00062,FLOOD,Estelí,11/10/2007,0,0,0
2007-00061,FLOOD,Matagalpa,11/10/2007,30,0,0
2010-00081,FIRE,Managua,26/11/2010,0,0,1749
2010-00080,FLOOD,Managua,11/10/2010,0,1443,0
2010-00079,FLOOD,Managua,04/10/2010,0,240,0
2010-00078,ACCIDENT,Boaco,03/10/2010,0,0,0
2010-00077,FLOOD,Jinotega,01/10/2010,0,15,0
2010-00076,RAIN,Matagalpa,30/09/2010,0,3400,0
2010-00075,FLOOD,Boaco,28/09/2010,0,0,0
2010-00074,FLOOD,Jinotega,28/09/2010,0,5,0
2010-00073,FLOOD,Managua,28/09/2010,0,0,0
2007-00060,FLOOD,León,11/10/2007,0,0,0
2002-00030,TORNADO,RAAN,30/09/2002,0,0,0
2010-00072,FLOOD,Granada,26/09/2010,0,100,0
2002-00029,FLOOD,Matagalpa,15/10/2002,0,0,0
2010-00071,FLOOD,Chinandega,26/09/2010,40,0,0
2002-00028,STORM,Granada,21/09/2002,0,5,0
2007-00059,FLOOD,León,11/10/2007,0,0,0
2002-00027,FLOOD,Rivas,21/09/2002,20,0,0
2007-00058,FLOOD,León,12/10/2007,0,0,0
2007-00057,FLOOD,León,11/10/2007,0,0,0
2007-00056,FLOOD,Chinandega,11/10/2007,0,0,0
2010-00070,FLOOD,Estelí,25/09/2010,0,25,0
2002-00026,FLOOD,Managua,21/09/2002,0,0,0
2010-00069,RAIN,RAAN,25/09/2010,0,0,0
2010-00068,FLOOD,RAAN,25/09/2010,0,0,0
2010-00067,FLOOD,Rivas,22/09/2010,0,0,0
2002-00025,FLOOD,RAAN,30/08/2002,8000,0,0
2010-00066,FLOOD,Managua,22/09/2010,0,200,0
2002-00024,TORNADO,Managua,10/06/2002,0,50,0
2010-00065,FLOOD,Managua,11/09/2010,0,0,0
2002-00023,STORM,Madriz,10/06/2002,0,0,0
2010-00064,FLOOD,Managua,14/09/2010,85,0,0
2007-00055,FLOOD,Matagalpa,18/10/2007,0,2835,0
2002-00021,SPATE,Estelí,06/06/2002,25,1500,0
2010-00063,STORM,Nueva Segovia,13/09/2010,0,0,0
2010-00062,FLOOD,Granada,13/09/2010,175,0,0
2002-00020,FLOOD,Managua,28/05/2002,0,1750,0
2007-00054,FLOOD,Matagalpa,18/10/2007,0,0,0
2010-00061,FLOOD,Managua,07/09/2010,0,0,0
2010-00060,RAIN,León,02/09/2010,0,5,0
2010-00059,FLOOD,Managua,01/09/2010,0,700,0
2002-00019,FLOOD,RAAS,27/05/2002,0,1500,0
2002-00018,STORM,RAAN,27/05/2002,0,0,0
2002-00017,LANDSLIDE,Managua,27/05/2002,0,0,0
2002-00016,FLOOD,Managua,26/05/2002,0,100,0
2002-00015,STRONGWIND,RAAS,21/05/2002,0,5,0
2002-00014,FLOOD,Masaya,21/05/2002,0,0,0
2002-00013,FLOOD,Managua,21/05/2002,0,300,0
2002-00012,FLOOD,Managua,21/05/2002,0,750,0
2002-00011,FORESTFIRE,Nueva Segovia,07/05/2002,0,0,0
2002-00010,FORESTFIRE,Nueva Segovia,30/04/2002,0,0,0
2002-00009,FORESTFIRE,Carazo,06/04/2002,0,0,0
2002-00008,STRONGWIND,Carazo,06/04/2002,0,0,0
2002-00007,DROUGHT,Río San Juan,23/04/2002,0,0,0
2002-00006,FORESTFIRE,Masaya,23/04/2002,0,0,0
2002-00005,FORESTFIRE,Granada,10/04/2002,0,0,0
2002-00004,FORESTFIRE,Nueva Segovia,10/04/2002,0,0,0
2002-00003,FORESTFIRE,Madriz,07/04/2002,0,0,0
2002-00002,TORNADO,Estelí,16/03/2002,0,0,0
2002-00001,FORESTFIRE,Nueva Segovia,08/02/2002,0,0,0
2007-00015,FLOOD,RAAN,04/09/2007,38000,13430,0
2003-00004,FORESTFIRE,Carazo,02/04/2003,0,0,402.13
2007-00019,FLOOD,Nueva Segovia,05/09/2007,0,0,0
2007-00016,STRONGWIND,Nueva Segovia,04/09/2007,0,0,0
2007-00028,OTHER,Chinandega,25/09/2007,0,0,0
2007-00024,FLOOD,RAAN,08/09/2007,0,0,0
2007-00022,FLOOD,RAAN,06/09/2007,0,0,0
2007-00027,RAIN,Managua,22/09/2007,0,0,0
2007-00021,FLOOD,Managua,05/09/2007,0,0,0
2007-00029,OTHER,Nueva Segovia,24/09/2007,0,0,0
2007-00020,STRONGWIND,Nueva Segovia,05/09/2007,0,0,0
2007-00017,FLOOD,Jinotega,05/09/2007,0,6000,0
2007-00030,FLOOD,Matagalpa,14/10/2007,0,0,0
2007-00018,FLOOD,Jinotega,05/09/2007,70,0,0
2007-00023,FLOOD,RAAN,08/09/2007,53000,0,0
2007-00026,FLOOD,RAAN,20/09/2007,0,0,0
2007-00025,FLOOD,Jinotega,08/09/2007,0,0,0
2003-00047,FLOOD,Managua,24/09/2003,0,0,0
2003-00046,FLOOD,Río San Juan,11/08/2003,0,0,0
2007-00053,FLOOD,Jinotega,17/10/2007,0,0,0
2003-00045,STORM,RAAS,08/07/2003,0,0,0
2003-00044,SPATE,Granada,08/07/2003,174,145,0
2007-00052,FLOOD,León,09/10/2007,0,0,0
2007-00051,FLOOD,León,09/10/2007,0,0,0
2007-00050,FLOOD,León,09/10/2007,0,0,0
2007-00049,FLOOD,León,09/10/2007,0,0,0
2007-00048,FLOOD,León,09/10/2007,0,0,0
2003-00043,TORNADO,RAAS,10/06/2003,0,0,0
2007-00047,FLOOD,León,09/10/2007,0,0,0
2003-00042,FLOOD,RAAN,24/06/2003,0,373,0
2007-00046,FLOOD,Chinandega,09/10/2007,0,0,0
2003-00041,FLOOD,RAAN,24/06/2003,0,0,0
2007-00045,FLOOD,Chinandega,09/10/2007,0,0,0
2007-00044,FLOOD,Chinandega,09/10/2007,0,0,0
2007-00043,FLOOD,Chinandega,09/10/2007,0,0,0
2007-00042,FLOOD,Chinandega,09/10/2007,0,0,0
2007-00041,FLOOD,Chinandega,09/10/2007,0,0,0
2007-00040,FLOOD,Chinandega,09/10/2007,0,0,0
2007-00039,FLOOD,Chinandega,09/10/2007,0,0,0
2007-00038,FLOOD,Chinandega,09/10/2007,0,5568,0
2003-00040,SPATE,Matagalpa,24/06/2003,0,0,0
2003-00039,SPATE,Rivas,24/06/2003,0,0,0
2003-00038,FLOOD,Chinandega,24/06/2003,0,0,0
2007-00037,FLOOD,Estelí,09/10/2007,0,0,0
2007-00036,FLOOD,Estelí,09/10/2007,0,0,0
2003-00037,SPATE,Nueva Segovia,24/06/2003,0,0,0
2003-00036,EPIDEMIC,Matagalpa,24/06/2003,0,43,0
2003-00035,EPIDEMIC,Masaya,24/06/2003,0,121,0
2003-00034,EPIDEMIC,Río San Juan,24/06/2003,0,296,0
2007-00035,FLOOD,Estelí,09/10/2007,0,531,0
2003-00033,EPIDEMIC,Granada,24/06/2003,0,496,0
2007-00034,FLOOD,Managua,09/10/2007,0,119,0
2007-00033,FLOOD,Matagalpa,09/10/2007,0,0,0
2007-00032,FLOOD,Granada,09/10/2007,0,0,0
2003-00032,EPIDEMIC,Carazo,24/06/2003,0,361,0
2003-00031,EPIDEMIC,Chontales,24/06/2003,0,894,0
2003-00030,FLOOD,Estelí,24/06/2003,0,0,0
2003-00029,EPIDEMIC,Managua,24/06/2003,0,1811,0
2003-00028,SPATE,Jinotega,20/06/2003,5,50,0
2003-00027,LANDSLIDE,Matagalpa,20/06/2003,0,0,0
2003-00026,STORM,Estelí,18/06/2003,0,0,0
2003-00025,FLOOD,Nueva Segovia,18/06/2003,10,0,0
2003-00024,FLOOD,Nueva Segovia,18/06/2003,25,0,0
2003-00023,FLOOD,Estelí,18/06/2003,0,100,0
2003-00022,SPATE,Nueva Segovia,17/06/2003,0,0,0
2003-00021,SPATE,Madriz,17/06/2003,0,0,0
2003-00020,FLOOD,Matagalpa,21/06/2003,0,65,199123.85
2003-00019,SPATE,Madriz,17/06/2003,0,0,0
2003-00018,SPATE,Nueva Segovia,04/06/2003,0,0,0
2003-00017,SPATE,Nueva Segovia,04/06/2003,0,0,0
2010-00058,LANDSLIDE,Rivas,28/08/2010,0,0,0
2010-00057,LANDSLIDE,RAAN,29/08/2010,0,0,0
2010-00056,FLOOD,Granada,28/08/2010,0,1485,0
2010-00055,FLOOD,León,22/08/2010,0,50,0
2010-00054,FLOOD,Managua,21/08/2010,230,420,0
2003-00016,SPATE,Matagalpa,20/06/2003,0,4000,0
2003-00015,FLOOD,Granada,17/06/2003,0,200,0
2003-00014,FORESTFIRE,Masaya,23/05/2003,0,0,0
2003-00012,STRONGWIND,Jinotega,01/04/2003,0,0,0
2003-00011,STRONGWIND,Jinotega,01/04/2003,0,60,0
2003-00010,FORESTFIRE,RAAN,28/04/2003,0,0,0
2003-00009,FORESTFIRE,Granada,25/04/2003,0,0,0
2003-00008,FORESTFIRE,RAAN,24/04/2003,0,0,0
2003-00007,FORESTFIRE,RAAN,23/04/2003,0,0,0
2003-00006,FORESTFIRE,Nueva Segovia,21/04/2003,5,0,0
2003-00005,FORESTFIRE,RAAS,07/04/2003,0,0,0
2003-00003,STORM,Managua,19/03/2003,0,155000,0
2003-00002,FORESTFIRE,Nueva Segovia,25/02/2003,0,0,0
2003-00001,FORESTFIRE,Nueva Segovia,21/02/2003,0,0,0
2005-00050,FLOOD,RAAS,04/11/2005,0,0,0
2010-00053,RAIN,Managua,21/08/2010,105,0,0
2010-00052,LANDSLIDE,Managua,22/08/2010,953,0,0
2010-00051,FLOOD,Boaco,27/08/2010,50,0,0
2010-00050,FLOOD,Estelí,19/08/2010,0,0,0
2010-00049,FLOOD,Jinotega,17/08/2010,0,0,0
2010-00048,RAIN,RAAN,17/08/2010,0,0,0
2010-00047,FLOOD,Estelí,15/08/2010,0,0,0
2010-00046,RAIN,Granada,05/08/2010,0,0,0
2010-00045,FLOOD,RAAN,04/08/2010,0,0,0
2010-00044,RAIN,Carazo,01/08/2010,0,0,0
2010-00043,FLOOD,Carazo,01/08/2010,0,0,0
2010-00042,RAIN,Chinandega,01/08/2010,0,0,0
2010-00041,RAIN,Chinandega,01/08/2010,0,0,0
2005-00049,ERUPTION,Chinandega,21/11/2005,0,0,0
