Serial,Event,&quot;Departamento&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2005-00048,FLOOD,RAAN,06/11/2005,0,5000,0
2005-00047,HURRICANE,RAAS,04/11/2005,0,0,0
2005-00046,FLOOD,RAAS,04/11/2005,0,0,0
2005-00045,FLOOD,RAAN,04/11/2005,28840,0,0
2005-00044,BIOLOGICAL,Chinandega,18/10/2005,0,0,200000
2005-00043,PLAGUE,RAAN,10/10/2005,0,0,800000
2005-00042,FLOOD,Chontales,10/10/2005,0,200,0
2005-00041,FLOOD,Granada,08/10/2005,0,1100,0
2005-00040,FLOOD,Granada,08/10/2005,0,0,0
2005-00039,SPATE,Managua,08/10/2005,0,0,0
2005-00038,LANDSLIDE,Jinotega,04/10/2005,50,250,0
2005-00037,FLOOD,RAAN,04/10/2005,0,0,0
2005-00036,FLOOD,Rivas,04/10/2005,0,0,0
2005-00035,FLOOD,Rivas,04/10/2005,0,300,0
2005-00034,FLOOD,Carazo,02/10/2005,0,0,0
2005-00033,FLOOD,Granada,03/10/2005,0,852,0
2005-00032,LANDSLIDE,Jinotega,03/10/2005,5,0,0
2005-00031,FLOOD,Chinandega,03/10/2005,0,0,0
2005-00030,SURGE,Chinandega,03/10/2005,0,0,0
2010-00040,POLLUTION,Managua,24/08/2010,0,10,0
2010-00039,FLOOD,León,10/07/2010,140,500,0
2010-00038,FLOOD,León,18/07/2010,0,225,0
2010-00037,FLOOD,Jinotega,13/07/2010,0,0,0
2010-00036,LANDSLIDE,Madriz,11/07/2010,0,0,0
2010-00035,STRUCTURE,León,09/07/2010,0,0,0
2010-00034,FLOOD,León,08/07/2010,25,0,0
2010-00033,FLOOD,León,09/07/2010,115,0,0
2005-00029,PLAGUE,RAAS,07/09/2005,0,0,0
2005-00028,FIRE,León,16/08/2005,0,0,0
2005-00027,STORM,Jinotega,07/08/2005,0,0,0
2005-00026,LANDSLIDE,Jinotega,12/08/2005,35,0,0
2005-00025,POLLUTION,Rivas,11/07/2005,0,0,0
2005-00024,HURRICANE,Granada,03/07/2005,165,570,0
2005-00023,SPATE,Nueva Segovia,03/07/2005,50,0,0
2005-00022,TORNADO,Granada,29/06/2005,116,120,0
2005-00021,STORM,Managua,15/06/2005,0,0,0
2005-00020,EPIDEMIC,Jinotega,15/06/2005,0,1143,0
2005-00018,PLAGUE,Nueva Segovia,08/06/2005,0,0,0
2010-00032,PLAGUE,RAAS,20/07/2010,0,0,0
2010-00031,FLOOD,Chinandega,26/06/2010,0,0,0
2010-00030,STRONGWIND,Managua,17/06/2010,0,15,0
2005-00019,FLOOD,Nueva Segovia,21/05/2005,0,0,0
2005-00017,FLOOD,Estelí,20/05/2005,0,310,0
2005-00016,FLOOD,Managua,16/05/2005,0,0,0
2005-00015,FLOOD,Carazo,16/05/2005,0,0,0
2005-00014,FLOOD,Estelí,15/05/2005,0,335,0
2005-00013,STORM,Managua,15/05/2005,0,1165,0
2005-00012,DROUGHT,Managua,08/05/2005,0,0,0
2007-00014,FLOOD,Carazo,18/08/2007,0,0,0
2007-00013,STRONGWIND,Matagalpa,17/08/2007,0,0,0
2007-00012,STRUCTURE,Managua,27/08/2007,0,0,0
2007-00011,OTHER,Estelí,12/06/2007,0,0,0
2007-00010,FLOOD,León,31/05/2007,0,0,0
2007-00009,FLOOD,Jinotega,28/05/2007,0,377,0
2007-00008,LANDSLIDE,Nueva Segovia,28/05/2007,25,249,0
2010-00029,FLOOD,Managua,27/05/2010,0,1530,0
2010-00028,FLOOD,Chinandega,27/05/2010,0,0,0
2007-00007,FIRE,Managua,05/05/2007,10,0,163857.42
2010-00027,FLOOD,Chinandega,27/05/2010,0,0,0
2010-00026,FLOOD,Chinandega,27/05/2010,0,0,0
2007-00006,FIRE,Managua,04/05/2007,40,20,0
2010-00025,STRUCTURE,Chinandega,28/05/2010,0,0,0
2010-00024,FLOOD,Granada,27/05/2010,0,50,0
2007-00005,OTHER,RAAN,08/05/2007,0,20000,0
2007-00004,DROUGHT,Granada,07/05/2007,0,5000,0
2010-00023,STRUCTURE,Matagalpa,28/05/2010,0,0,0
2010-00022,FLOOD,RAAN,27/05/2010,0,175,0
2010-00021,FLOOD,Matagalpa,28/05/2010,0,38240,0
2010-00020,FLOOD,Matagalpa,28/05/2010,0,85,0
2005-00011,FORESTFIRE,Nueva Segovia,27/04/2005,0,0,0
2007-00003,DROUGHT,Río San Juan,21/04/2007,0,0,0
2007-00002,OTHER,Nueva Segovia,13/02/2007,0,0,0
2005-00010,POLLUTION,Boaco,22/04/2005,0,0,0
2005-00009,FORESTFIRE,Matagalpa,14/04/2005,0,0,0
2005-00008,DROUGHT,Estelí,06/04/2005,0,0,0
2005-00007,FORESTFIRE,Jinotega,28/03/2005,0,0,0
2005-00006,DROUGHT,Chinandega,03/03/2005,0,5000,0
2005-00005,FORESTFIRE,Nueva Segovia,14/02/2005,0,0,0
2007-00001,FIRE,Managua,15/01/2007,5,0,0
2005-00004,DROUGHT,Estelí,15/02/2005,0,800,0
2008-00118,FIRE,León,20/12/2008,10,0,15134.92
2005-00003,POLLUTION,Masaya,04/02/2005,0,0,0
2008-00117,FIRE,Carazo,19/12/2008,0,0,10091.32
2010-00019,FLOOD,Matagalpa,28/05/2010,0,0,0
2008-00116,OTHER,Boaco,17/12/2008,0,0,0
2008-00115,EXPLOSION,Rivas,02/11/2008,0,0,0
2010-00018,FLOOD,Matagalpa,27/05/2010,0,0,0
2005-00002,OTHER,Matagalpa,05/01/2005,0,250,0
2005-00001,FLOOD,RAAN,21/01/2005,0,13500,0
2010-00017,FLOOD,León,27/05/2010,4000,2500,0
2010-00016,FLOOD,León,27/05/2010,4000,2500,0
2006-00017,FIRE,Managua,21/12/2006,15,0,0
2006-00016,FORESTFIRE,Chinandega,16/11/2006,0,0,2200000
2010-00015,FLOOD,León,27/05/2010,350,4000,0
2006-00015,EXPLOSION,Granada,14/11/2006,0,0,0
2010-00014,RAIN,León,27/05/2010,0,350,0
2006-00014,FIRE,Managua,28/10/2006,0,15,0
2008-00114,POLLUTION,Jinotega,29/11/2008,0,0,0
2008-00113,FLOOD,RAAN,25/11/2008,0,100,0
2008-00112,SPATE,Nueva Segovia,16/10/2008,0,0,0
2008-00111,RAIN,RAAN,16/10/2008,0,0,0
2010-00013,STRUCTURE,Madriz,29/05/2010,0,0,0
2010-00012,DROUGHT,Nueva Segovia,22/02/2010,0,2600,0
2010-00011,DROUGHT,Madriz,18/02/2010,0,0,0
2008-00110,FLOOD,Rivas,16/10/2008,0,0,0
2010-00010,DROUGHT,Boaco,16/02/2010,0,0,0
2008-00109,FLOOD,Rivas,16/10/2008,0,60,0
2008-00108,SPATE,Chinandega,16/10/2008,5,0,0
2008-00107,FLOOD,Chinandega,16/10/2008,0,0,0
2008-00106,FLOOD,Rivas,16/10/2008,0,30,0
2008-00105,RAIN,Rivas,16/10/2008,0,0,0
2008-00104,LANDSLIDE,Rivas,16/10/2008,0,0,0
2008-00103,FLOOD,Estelí,16/10/2008,0,65,0
2006-00013,STRUCTURE,León,21/10/2006,0,5,0
2006-00012,LANDSLIDE,León,21/10/2006,0,5,0
2008-00102,RAIN,Chinandega,16/10/2008,0,0,0
2006-00011,POLLUTION,León,22/10/2006,0,0,0
2008-00101,FLOOD,Managua,16/10/2008,0,710,0
2008-00100,FLOOD,Nueva Segovia,11/10/2008,35,500,0
2008-00099,FLOOD,Granada,04/10/2008,0,0,0
2008-00098,FLOOD,Managua,04/10/2008,0,1525,0
2008-00097,LANDSLIDE,Nueva Segovia,03/10/2008,35,0,0
2008-00096,FLOOD,Granada,03/10/2008,1060,0,0
2008-00095,FLOOD,Matagalpa,03/10/2008,0,0,0
2008-00094,LANDSLIDE,Matagalpa,03/10/2008,0,0,0
2008-00093,FLOOD,Matagalpa,03/10/2008,0,0,0
2008-00092,FLOOD,León,03/10/2008,0,0,0
2008-00091,SPATE,Nueva Segovia,03/10/2008,0,0,0
2008-00090,FLOOD,Granada,03/10/2008,0,930,0
2008-00089,FLOOD,Managua,03/10/2008,0,40,0
2008-00088,FLOOD,Jinotega,02/10/2008,0,0,0
2008-00087,LANDSLIDE,Nueva Segovia,03/10/2008,0,0,0
2008-00086,FLOOD,Nueva Segovia,02/10/2008,0,0,0
2008-00085,FLOOD,Jinotega,02/10/2008,0,15,0
2008-00084,FLOOD,Matagalpa,02/10/2008,0,0,0
2008-00083,SPATE,Matagalpa,02/10/2008,0,130,0
2008-00082,FLOOD,Jinotega,02/10/2008,0,0,0
2008-00081,FLOOD,Jinotega,02/10/2008,0,0,0
2006-00010,POLLUTION,Managua,18/09/2006,0,7,0
2006-00009,POLLUTION,Chinandega,18/09/2006,0,0,87.07
2008-00080,LANDSLIDE,Rivas,04/10/2008,0,0,0
2008-00079,RAIN,León,30/09/2008,5,0,0
2008-00078,LANDSLIDE,Nueva Segovia,30/09/2008,0,0,0
2008-00077,FLOOD,Managua,13/10/2008,0,0,0
2008-00076,FLOOD,Estelí,13/10/2008,0,0,0
2008-00075,FLOOD,RAAN,13/10/2008,0,0,0
2008-00074,FLOOD,Boaco,02/10/2008,0,239,0
2006-00008,POLLUTION,León,18/09/2006,0,742,0
2006-00007,POLLUTION,Madriz,25/06/2006,0,0,0
2006-00006,LANDSLIDE,Chinandega,16/06/2006,0,4000,0
2006-00005,FORESTFIRE,Nueva Segovia,06/05/2006,0,0,0
2006-00004,FORESTFIRE,Río San Juan,27/04/2006,0,0,0
2006-00003,FORESTFIRE,Nueva Segovia,27/03/2006,0,0,0
2006-00002,FIRE,Managua,21/03/2006,25,0,63885.03
2008-00073,FIRE,RAAN,10/09/2008,0,5,51140.43
2008-00072,FIRE,Managua,03/09/2008,0,90,0
2008-00071,FLOOD,Managua,22/09/2008,0,0,0
2008-00070,STRUCTURE,Carazo,21/09/2008,0,0,0
2008-00069,FLOOD,Matagalpa,21/09/2008,0,205,0
2008-00068,FLOOD,Managua,21/09/2008,5,0,0
2008-00067,FLOOD,Granada,21/09/2008,0,10000,0
2008-00066,FLOOD,León,07/09/2008,0,0,0
2008-00065,FLOOD,León,07/09/2008,0,0,5115.4
2008-00064,FLOOD,Carazo,05/09/2008,0,0,0
2008-00063,RAIN,Granada,05/09/2008,0,0,0
2008-00062,FLOOD,León,03/09/2008,0,0,0
2010-00009,DROUGHT,Madriz,06/01/2010,0,0,0
2008-00061,FLOOD,León,03/09/2008,0,0,0
2010-00008,DROUGHT,Nueva Segovia,06/01/2010,0,20000,0
2010-00007,DROUGHT,Madriz,06/01/2010,0,11450,0
2008-00060,RAIN,León,30/08/2008,0,0,0
2010-00006,STRONGWIND,RAAS,10/01/2010,0,0,0
2010-00005,STRONGWIND,RAAS,10/01/2010,0,0,0
2008-00059,FLOOD,León,30/08/2008,0,80,0
2010-00004,STRONGWIND,Chontales,10/01/2010,0,0,0
2010-00003,STRONGWIND,Chontales,10/01/2010,0,0,0
2008-00058,FLOOD,León,30/08/2008,5,9,0
2010-00002,STRONGWIND,Chontales,10/01/2010,0,0,0
2006-00001,OTHER,Masaya,27/01/2006,0,25000,0
2008-00057,FIRE,Managua,01/08/2008,0,0,154241645.2
2010-00001,DROUGHT,Boaco,09/01/2010,0,9000,0
2008-00055,FLOOD,Carazo,29/08/2008,0,2250,0
2008-00054,FLOOD,RAAN,03/07/2008,0,0,0
2008-00053,FLOOD,Managua,18/07/2008,0,0,0
2008-00052,FLOOD,RAAN,07/07/2008,0,0,0
2008-00051,FLOOD,RAAS,07/07/2008,25,0,0
2009-00056,FIRE,Managua,16/12/2009,5,0,0
2011-00068,RAIN,RAAN,22/12/2011,0,0,0
2011-00067,FLOOD,RAAN,22/12/2011,0,50,0
2011-00066,FLOOD,RAAN,22/12/2011,0,0,0
2011-00065,FLOOD,RAAN,22/12/2011,0,0,0
2009-00055,FIRE,Chinandega,15/12/2009,5,5,0
2009-00054,EXPLOSION,Boaco,10/12/2009,0,0,0
2011-00064,RAIN,Managua,01/12/2011,0,0,0
2011-00063,RAIN,Boaco,08/11/2011,0,0,0
2011-00062,FLOOD,Granada,08/11/2011,0,0,0
2008-00050,FLOOD,RAAS,07/07/2008,0,0,0
2008-00049,FLOOD,RAAS,07/07/2008,0,0,0
2011-00061,FLOOD,Managua,03/11/2011,0,0,0
2011-00060,FLOOD,Managua,11/07/2011,5,885,0
2009-00053,FIRE,Managua,12/11/2009,0,5,4887.58
2009-00052,FIRE,Masaya,12/11/2009,5,0,3910.06
2008-00048,FLOOD,RAAS,07/07/2008,0,0,0
2009-00051,FLOOD,RAAS,06/11/2009,675,2875,0
2008-00047,FLOOD,RAAS,06/07/2008,0,0,0
2008-00046,RAIN,Madriz,03/07/2008,0,5,0
2008-00045,FLOOD,RAAS,03/07/2008,0,150,0
2008-00044,FLOOD,RAAS,03/07/2008,0,1000,0
2009-00050,FLOOD,RAAS,05/11/2009,55,1165,0
2009-00049,FLOOD,RAAS,05/11/2009,0,2650,0
2009-00048,DROUGHT,Boaco,28/10/2009,0,0,0
2009-00047,DROUGHT,Boaco,28/10/2009,0,0,0
2009-00046,DROUGHT,Chinandega,19/10/2009,0,0,0
2009-00045,DROUGHT,Madriz,18/10/2009,0,10711,0
2009-00044,DROUGHT,RAAN,04/10/2009,0,0,0
2008-00043,SPATE,RAAN,02/07/2008,0,0,0
2011-00059,FLOOD,Managua,01/11/2011,0,0,0
2008-00042,FLOOD,RAAS,02/07/2008,0,0,0
2008-00041,FLOOD,Matagalpa,02/07/2008,0,0,0
2008-00040,FLOOD,Matagalpa,02/07/2008,0,35,0
2011-00058,STRUCTURE,Madriz,28/10/2011,0,0,0
2011-00057,STRUCTURE,Madriz,27/10/2011,0,0,0
2008-00039,FLOOD,RAAS,02/07/2008,0,0,0
2011-00056,FLOOD,Madriz,27/10/2011,0,0,0
2008-00038,FLOOD,Matagalpa,03/07/2008,0,0,0
2008-00037,TORNADO,Chontales,04/06/2008,0,496,0
2008-00036,FLOOD,Managua,05/06/2008,0,0,0
2008-00035,RAIN,Managua,03/06/2008,0,0,0
2008-00034,FLOOD,Jinotega,31/05/2008,0,0,0
2011-00055,FLOOD,Chinandega,11/10/2011,10,0,0
2011-00054,FLOOD,León,11/10/2011,0,200,0
2011-00053,FLOOD,Nueva Segovia,04/10/2011,0,0,0
2011-00052,FLOOD,Nueva Segovia,04/10/2011,0,0,0
2011-00051,FLOOD,Estelí,04/10/2011,0,0,0
2008-00033,FORESTFIRE,Jinotega,22/05/2008,0,0,0
2011-00050,RAIN,Managua,30/09/2011,25,1250,0
2008-00032,FORESTFIRE,RAAN,13/05/2008,0,0,0
2011-00049,RAIN,RAAN,24/10/2011,0,0,0
2011-00048,FLOOD,Managua,20/10/2011,380,0,0
2009-00043,FLOOD,RAAN,09/10/2009,0,0,0
2009-00042,FIRE,Managua,2009/9/31,5,0,500000
2009-00041,TORNADO,León,05/09/2009,0,60,0
2009-00040,DROUGHT,Nueva Segovia,22/09/2009,0,15000,0
2009-00039,DROUGHT,Nueva Segovia,22/09/2009,0,0,0
2009-00038,DROUGHT,León,16/09/2009,0,0,0
2009-00037,FIRE,RAAN,16/08/2009,5,0,0
2009-00036,POLLUTION,León,14/08/2009,0,200,0
2009-00035,TORNADO,León,22/07/2009,0,700,0
2009-00034,FIRE,Chinandega,30/07/2009,0,3800,10000000
2009-00033,FIRE,Masaya,2009/6/31,35,0,500000
2009-00032,FLOOD,RAAN,15/07/2009,10,19876,0
2011-00046,HEATWAVE,RAAS,16/09/2011,0,0,0
2009-00030,FLOOD,RAAS,10/07/2009,0,1250,0
2009-00029,DROUGHT,Nueva Segovia,14/06/2009,0,4000,0
2009-00028,ELECTRICSTORM,Managua,30/06/2009,0,0,0
2009-00027,STRUCTURE,Jinotega,26/05/2009,0,3000,0
2009-00026,SPATE,Managua,25/05/2009,0,0,0
2011-00045,FLOOD,Managua,19/09/2011,0,0,0
2011-00044,FLOOD,Granada,19/09/2011,25,260,0
2011-00043,FLOOD,Chinandega,18/09/2011,0,0,0
2011-00042,STRONGWIND,Chinandega,18/09/2011,0,0,0
2011-00041,STRUCTURE,Masaya,18/09/2011,0,4,0
2009-00025,FLOOD,Managua,06/05/2009,5,2210,0
2008-00031,FLOOD,Estelí,30/05/2008,25,0,0
2011-00040,FLOOD,Managua,12/09/2011,0,60,0
2011-00039,FLOOD,Managua,03/09/2011,5,775,0
2009-00024,FLOOD,Managua,06/05/2009,0,100,0
2011-00038,FLOOD,Managua,05/09/2011,0,0,0
2008-00030,STRONGWIND,Estelí,30/05/2008,0,25,0
2011-00037,FLOOD,Masaya,31/08/2011,0,100,0
2008-00029,STRONGWIND,Estelí,30/05/2008,0,25,0
2011-00036,TORNADO,Managua,19/08/2011,0,105,0
2011-00035,DROUGHT,Boaco,16/08/2011,0,0,0
2008-00028,STRONGWIND,Estelí,30/05/2008,0,75,0
2011-00034,LANDSLIDE,Managua,12/08/2011,0,0,0
2011-00033,FLOOD,RAAN,04/08/2011,0,0,0
2008-00027,SPATE,Boaco,29/05/2008,0,0,0
2008-00026,FLOOD,León,30/05/2008,0,0,0
2009-00023,HAILSTORM,Jinotega,25/05/2009,0,0,0
2009-00022,FIRE,Granada,20/04/2009,5,0,0
2009-00021,FORESTFIRE,RAAN,17/04/2009,0,0,0
2009-00020,FORESTFIRE,Nueva Segovia,14/04/2009,0,0,0
2009-00019,FORESTFIRE,Masaya,14/04/2009,0,0,86.07
2008-00025,RAIN,León,31/05/2008,0,0,0
2008-00024,FLOOD,Managua,30/05/2008,0,0,0
2011-00031,RAIN,Managua,30/06/2011,0,0,0
2008-00022,HURRICANE,Managua,30/05/2008,0,0,0
2008-00021,HURRICANE,Estelí,30/05/2008,0,0,0
2011-00030,STRUCTURE,Managua,13/07/2011,0,0,0
2009-00018,FIRE,Jinotega,13/04/2009,5,0,0
2011-00029,FLOOD,Managua,06/07/2011,0,1305,0
2009-00017,FIRE,Estelí,13/04/2009,0,5,2400
2011-00028,RAIN,Granada,22/07/2011,0,0,0
2011-00027,FLOOD,Managua,15/07/2011,0,0,0
2008-00020,STRUCTURE,Managua,29/05/2008,0,0,0
2011-00026,FLOOD,RAAN,08/07/2011,0,0,0
2008-00019,FLOOD,León,29/05/2008,0,0,0
2011-00025,POLLUTION,Rivas,25/06/2011,0,0,0
2011-00032,FLOOD,Managua,15/06/2011,0,176,0
2011-00024,FORESTFIRE,Nueva Segovia,01/04/2011,0,0,0
2011-00023,FORESTFIRE,Boaco,05/05/2011,0,0,0
2009-00016,FIRE,RAAN,01/04/2009,50,0,300000
2011-00022,FORESTFIRE,Nueva Segovia,01/05/2011,0,0,0
2011-00021,FORESTFIRE,Jinotega,26/04/2011,0,25000,0
2011-00020,TORNADO,Nueva Segovia,21/05/2011,0,78,0
2009-00015,OTHER,Managua,17/04/2009,0,750,0
2009-00014,OTHER,Estelí,22/04/2009,0,0,0
2009-00013,DROUGHT,Estelí,22/04/2009,0,3000,0
2009-00012,FIRE,Carazo,25/03/2009,5,0,0
2009-00011,FIRE,Managua,12/03/2009,5,0,0
2011-00019,RAIN,Madriz,14/05/2011,32,160,0
2009-00010,FORESTFIRE,León,05/03/2009,0,0,0
2011-00018,FLOOD,Managua,14/05/2011,0,75,0
2009-00009,STRUCTURE,Masaya,03/03/2009,0,0,0
2008-00018,RAIN,León,29/05/2008,0,0,0
2011-00017,DROUGHT,Carazo,05/05/2011,0,0,0
2011-00016,FLOOD,Managua,29/08/2010,700,0,0
2008-00017,OTHER,Chontales,19/05/2008,0,0,0
2009-00008,STRONGWIND,Granada,05/02/2009,0,5,0
2008-00016,OTHER,León,19/05/2008,0,0,0
2011-00015,FORESTFIRE,Nueva Segovia,01/04/2011,0,0,0
2008-00015,DROUGHT,RAAN,08/05/2008,0,50000,0
2009-00007,STRONGWIND,Río San Juan,05/02/2009,0,300,0
2009-00006,FIRE,Matagalpa,10/02/2009,5,0,0
2008-00014,FORESTFIRE,Estelí,22/04/2008,0,0,0
2009-00005,FORESTFIRE,Granada,07/02/2009,0,0,0
2009-00004,FORESTFIRE,León,07/02/2009,0,0,0
2009-00003,FORESTFIRE,Chinandega,07/02/2009,0,0,0
2009-00002,FIRE,Managua,01/02/2009,10,10,0
2008-00013,FORESTFIRE,Estelí,02/04/2008,0,0,0
2008-00012,FIRE,RAAN,20/04/2008,5,0,0
2011-00014,FIRE,Managua,27/04/2011,0,50,0
2011-00013,FIRE,Managua,31/03/2011,0,15,0
2008-00011,DROUGHT,Estelí,22/04/2008,0,3000,0
2011-00012,DROUGHT,Chontales,10/03/2011,0,0,0
2011-00011,HAILSTORM,Managua,27/04/2011,0,0,0
2008-00010,FORESTFIRE,Madriz,13/02/2008,0,0,0
2008-00009,FIRE,Managua,28/02/2008,0,100,788676.7
2011-00010,FIRE,Estelí,09/01/2011,0,5,90000
2011-00009,FIRE,Estelí,03/01/2011,0,5,2284
2008-00008,FIRE,RAAS,31/01/2008,20,0,0
2011-00007,FIRE,Granada,31/12/2010,0,5,20000
2011-00006,FORESTFIRE,Jinotega,20/05/2010,0,0,0
2008-00007,STRONGWIND,Matagalpa,04/01/2008,5,100,0
2011-00005,STRONGWIND,RAAS,04/01/2011,0,0,0
2008-00005,STRONGWIND,Carazo,03/01/2008,0,0,0
2011-00004,DROUGHT,Boaco,26/01/2011,0,3700,0
2008-00004,STRONGWIND,Estelí,03/01/2008,0,0,0
2011-00003,DROUGHT,Managua,17/01/2011,0,0,0
2008-00003,STRONGWIND,Matagalpa,03/01/2008,10,15,20000
2008-00002,STRONGWIND,RAAN,03/01/2008,0,0,0
2008-00001,OTHER,Managua,28/01/2008,0,0,0
2011-00001,EARTHQUAKE,Rivas,21/01/2011,0,0,0
