,,2019,2023,
Kyrgyzstan,2002,4990700,4990700,0.00%
Kyrgyzstan,2003,5043300,5043300,0.00%
Kyrgyzstan,2004,5104700,5104700,0.00%
Kyrgyzstan,2005,5162600,5162600,0.00%
Kyrgyzstan,2006,5218400,5218400,0.00%
Kyrgyzstan,2007,5268400,5268400,0.00%
Kyrgyzstan,2008,5318700,5318700,0.00%
Kyrgyzstan,2009,5383300,5383300,0.00%
Kyrgyzstan,2010,5447900,5447900,0.00%
Kyrgyzstan,2011,5514600,5514600,0.00%
Kyrgyzstan,2012,5607200,5607200,0.00%
Kyrgyzstan,2013,5719600,5719600,0.00%
Kyrgyzstan,2014,5835500,5835500,0.00%
Kyrgyzstan,2015,5956900,5956900,0.00%
Kyrgyzstan,2016,6079500,6079500,0.00%
Kyrgyzstan,2017,6198200,6198200,0.00%
Kyrgyzstan,2018,6322800,6322800,0.00%
Kyrgyzstan,2019,6456900,6456200,-0.01%
Kyrgyzstan,2020,,6579900,#DIV/0!
Kyrgyzstan,2021,,6691800,#DIV/0!
Kyrgyzstan,2022,,0,#DIV/0!
Laos,2002,5493246,5606101,2.05%
Laos,2003,5576640,5689065,2.02%
Laos,2004,5662208,5768167,1.87%
Laos,2005,5751676,5852970,1.76%
Laos,2006,5846074,5946593,1.72%
Laos,2007,5944948,6041348,1.62%
Laos,2008,6046620,6135861,1.48%
Laos,2009,6148623,6229930,1.32%
Laos,2010,6249165,6323418,1.19%
Laos,2011,6347567,6416327,1.08%
Laos,2012,6444530,6508803,1.00%
Laos,2013,6541304,6600742,0.91%
Laos,2014,6639756,6691454,0.78%
Laos,2015,6741164,6787419,0.69%
Laos,2016,6845846,6891363,0.66%
Laos,2017,6953035,6997917,0.65%
Laos,2018,7061507,7105006,0.62%
Laos,2019,7169455,7212053,0.59%
Laos,2020,,7319399,#DIV/0!
Laos,2021,,7425057,#DIV/0!
Laos,2022,,0,#DIV/0!
Madagascar,2002,16765117,17211934,2.67%
Madagascar,2003,17279141,17724310,2.58%
Madagascar,2004,17802997,18250774,2.52%
Madagascar,2005,18336724,18792171,2.48%
Madagascar,2006,18880269,19350299,2.49%
Madagascar,2007,19433530,19924958,2.53%
Madagascar,2008,19996473,20513599,2.59%
Madagascar,2009,20569117,21117092,2.66%
Madagascar,2010,21151640,21731053,2.74%
Madagascar,2011,21743967,22348158,2.78%
Madagascar,2012,22346641,22966240,2.77%
Madagascar,2013,22961253,23588073,2.73%
Madagascar,2014,23589887,24215976,2.65%
Madagascar,2015,24234088,24850912,2.55%
Madagascar,2016,24894380,25501941,2.44%
Madagascar,2017,25570540,26169542,2.34%
Madagascar,2018,26262368,26846541,2.22%
Madagascar,2019,26969307,27533134,2.09%
Madagascar,2020,,28225177,#DIV/0!
Madagascar,2021,,28915653,#DIV/0!
Madagascar,2022,,0,#DIV/0!
Mexico,2002,101684758,100917081,-0.75%
Mexico,2003,103081020,102429341,-0.63%
Mexico,2004,104514932,103945813,-0.54%
Mexico,2005,106005203,105442402,-0.53%
Mexico,2006,107560153,106886790,-0.63%
Mexico,2007,109170502,108302973,-0.79%
Mexico,2008,110815271,109684489,-1.02%
Mexico,2009,112463887,111049428,-1.26%
Mexico,2010,114092963,112532401,-1.37%
Mexico,2011,115695473,114150481,-1.34%
Mexico,2012,117274155,115755909,-1.29%
Mexico,2013,118827161,117290686,-1.29%
Mexico,2014,120355128,118755887,-1.33%
Mexico,2015,121858258,120149897,-1.40%
Mexico,2016,123333376,121519221,-1.47%
Mexico,2017,124777324,122839258,-1.55%
Mexico,2018,126190788,124013861,-1.73%
Mexico,2019,127575529,125085311,-1.95%
Mexico,2020,,125998302,#DIV/0!
Mexico,2021,,126705138,#DIV/0!
Mexico,2022,,0,#DIV/0!
Morocco,2002,29454768,29301817,-0.52%
Morocco,2003,29782884,29661270,-0.41%
Morocco,2004,30115214,30033125,-0.27%
Morocco,2005,30455561,30431902,-0.08%
Morocco,2006,30804683,30833022,0.09%
Morocco,2007,31163673,31232633,0.22%
Morocco,2008,31536811,31634992,0.31%
Morocco,2009,31929087,32042877,0.36%
Morocco,2010,32343389,32464865,0.38%
Morocco,2011,32781850,32903699,0.37%
Morocco,2012,33241898,33352169,0.33%
Morocco,2013,33715693,33803527,0.26%
Morocco,2014,34192347,34248603,0.16%
Morocco,2015,34663603,34680458,0.05%
Morocco,2016,35126296,35107264,-0.05%
Morocco,2017,35581294,35528115,-0.15%
Morocco,2018,36029138,35927511,-0.28%
Morocco,2019,36471769,36304408,-0.46%
Morocco,2020,,36688772,#DIV/0!
Morocco,2021,,37076584,#DIV/0!
Morocco,2022,,0,#DIV/0!
Mozambique,2002,18764155,18694946,-0.37%
Mozambique,2003,19331100,19186754,-0.75%
Mozambique,2004,19910552,19694411,-1.09%
Mozambique,2005,20493925,20211114,-1.38%
Mozambique,2006,21080110,20735982,-1.63%
Mozambique,2007,21673316,21280513,-1.81%
Mozambique,2008,22276596,21845571,-1.93%
Mozambique,2009,22894710,22436660,-2.00%
Mozambique,2010,23531574,23073723,-1.95%
Mozambique,2011,24187487,23760421,-1.77%
Mozambique,2012,24862648,24487611,-1.51%
Mozambique,2013,25560725,25251731,-1.21%
Mozambique,2014,26286163,26038704,-0.94%
Mozambique,2015,27042002,26843246,-0.73%
Mozambique,2016,27829942,27696493,-0.48%
Mozambique,2017,28649007,28569441,-0.28%
Mozambique,2018,29495962,29423878,-0.24%
Mozambique,2019,30366036,30285595,-0.26%
Mozambique,2020,,31178239,#DIV/0!
Mozambique,2021,,32077072,#DIV/0!
Mozambique,2022,,0,#DIV/0!
Myanmar,2002,47702171,46480230,-2.56%
Myanmar,2003,48148902,46924293,-2.54%
Myanmar,2004,48564484,47338446,-2.52%
Myanmar,2005,48949924,47724471,-2.50%
Myanmar,2006,49301050,48088274,-2.46%
Myanmar,2007,49621475,48445647,-2.37%
Myanmar,2008,49929642,48729486,-2.40%
Myanmar,2009,50250367,49015836,-2.46%
Myanmar,2010,50600818,49390988,-2.39%
Myanmar,2011,50990615,49794522,-2.35%
Myanmar,2012,51413698,50218185,-2.33%
Myanmar,2013,51852451,50648334,-2.32%
Myanmar,2014,52280807,51072436,-2.31%
Myanmar,2015,52680726,51483949,-2.27%
Myanmar,2016,53045226,51892349,-2.17%
Myanmar,2017,53382581,52288341,-2.05%
Myanmar,2018,53708395,52666014,-1.94%
Myanmar,2019,54045420,53040212,-1.86%
Myanmar,2020,,53423198,#DIV/0!
Myanmar,2021,,53798084,#DIV/0!
Myanmar,2022,,0,#DIV/0!
Namibia,2002,1851523,1888525,2.00%
Namibia,2003,1879117,1915425,1.93%
Namibia,2004,1907745,1939406,1.66%
Namibia,2005,1938320,1962865,1.27%
Namibia,2006,1971317,1986558,0.77%
Namibia,2007,2006514,2011492,0.25%
Namibia,2008,2043394,2038552,-0.24%
Namibia,2009,2081044,2067919,-0.63%
Namibia,2010,2118874,2099271,-0.93%
Namibia,2011,2156701,2132340,-1.13%
Namibia,2012,2194784,2167470,-1.24%
Namibia,2013,2233510,2204510,-1.30%
Namibia,2014,2273430,2243001,-1.34%
Namibia,2015,2314904,2282704,-1.39%
Namibia,2016,2358041,2323352,-1.47%
Namibia,2017,2402603,2364534,-1.58%
Namibia,2018,2448255,2405680,-1.74%
Namibia,2019,2494530,2446644,-1.92%
Namibia,2020,,2489098,#DIV/0!
Namibia,2021,,2530151,#DIV/0!
Namibia,2022,,0,#DIV/0!
Nepal,2002,24725627,25332178,2.45%
Nepal,2003,25080872,25682908,2.40%
Nepal,2004,25419344,26003965,2.30%
Nepal,2005,25744500,26285110,2.10%
Nepal,2006,26066693,26518971,1.74%
Nepal,2007,26382581,26713655,1.25%
Nepal,2008,26666576,26881544,0.81%
Nepal,2009,26883535,27026941,0.53%
Nepal,2010,27013212,27161567,0.55%
Nepal,2011,27041437,27266399,0.83%
Nepal,2012,26989862,27330694,1.26%
Nepal,2013,26917906,27381555,1.72%
Nepal,2014,26906926,27462106,2.06%
Nepal,2015,27015031,27610325,2.20%
Nepal,2016,27261131,27861186,2.20%
Nepal,2017,27627124,28183426,2.01%
Nepal,2018,28087871,28506712,1.49%
Nepal,2019,28608710,28832496,0.78%
Nepal,2020,,29348627,#DIV/0!
Nepal,2021,,30034989,#DIV/0!
Nepal,2022,,0,#DIV/0!
Nicaragua,2002,5219328,5259006,0.76%
Nicaragua,2003,5292118,5323062,0.58%
Nicaragua,2004,5364935,5386223,0.40%
Nicaragua,2005,5438690,5454678,0.29%
Nicaragua,2006,5513763,5529811,0.29%
Nicaragua,2007,5590055,5607453,0.31%
Nicaragua,2008,5667432,5687744,0.36%
Nicaragua,2009,5745526,5770639,0.44%
Nicaragua,2010,5824065,5855734,0.54%
Nicaragua,2011,5903039,5942553,0.67%
Nicaragua,2012,5982526,6030607,0.80%
Nicaragua,2013,6062454,6119379,0.94%
Nicaragua,2014,6142733,6208676,1.07%
Nicaragua,2015,6223240,6298598,1.21%
Nicaragua,2016,6303974,6389235,1.35%
Nicaragua,2017,6384855,6480532,1.50%
Nicaragua,2018,6465513,6572233,1.65%
Nicaragua,2019,6545502,6663924,1.81%
Nicaragua,2020,,6755895,#DIV/0!
Nicaragua,2021,,6850540,#DIV/0!
Nicaragua,2022,,0,#DIV/0!
Niger (the),2002,12189983,12456517,2.19%
Niger (the),2003,12647984,12900790,2.00%
Niger (the),2004,13125916,13366885,1.84%
Niger (the),2005,13624467,13855221,1.69%
Niger (the),2006,14143971,14365168,1.56%
Niger (the),2007,14685399,14897873,1.45%
Niger (the),2008,15250908,15455175,1.34%
Niger (the),2009,15843133,16037915,1.23%
Niger (the),2010,16464025,16647543,1.11%
Niger (the),2011,17114761,17283112,0.98%
Niger (the),2012,17795191,17954407,0.89%
Niger (the),2013,18504255,18653199,0.80%
Niger (the),2014,19240157,19372014,0.69%
Niger (the),2015,20001663,20128124,0.63%
Niger (the),2016,20788838,20921743,0.64%
Niger (the),2017,21602472,21737922,0.63%
Niger (the),2018,22442948,22577058,0.60%
Niger (the),2019,23310715,23443393,0.57%
Niger (the),2020,,24333639,#DIV/0!
Niger (the),2021,,25252722,#DIV/0!
Niger (the),2022,,0,#DIV/0!
Pakistan,2002,149549700,163262807,9.17%
Pakistan,2003,153093373,166876680,9.00%
Pakistan,2004,156664697,170648620,8.93%
Pakistan,2005,160304008,174372098,8.78%
Pakistan,2006,164022627,178069984,8.56%
Pakistan,2007,167808105,181924521,8.41%
Pakistan,2008,171648986,185931955,8.32%
Pakistan,2009,175525609,190123222,8.32%
Pakistan,2010,179424641,194454498,8.38%
Pakistan,2011,183340592,198602738,8.32%
Pakistan,2012,187281475,202205861,7.97%
Pakistan,2013,191262919,205337562,7.36%
Pakistan,2014,195306825,208251628,6.63%
Pakistan,2015,199426964,210969298,5.79%
Pakistan,2016,203627284,213524840,4.86%
Pakistan,2017,207896686,216379655,4.08%
Pakistan,2018,212215030,219731479,3.54%
Pakistan,2019,216565318,223293280,3.11%
Pakistan,2020,,227196741,#DIV/0!
Pakistan,2021,,231402117,#DIV/0!
Pakistan,2022,,0,#DIV/0!
Peru,2002,27100968,27334503,0.86%
Peru,2003,27372226,27623341,0.92%
Peru,2004,27624213,27893911,0.98%
Peru,2005,27866145,28147267,1.01%
Peru,2006,28102056,28381078,0.99%
Peru,2007,28333052,28600387,0.94%
Peru,2008,28562317,28806185,0.85%
Peru,2009,28792655,29009326,0.75%
Peru,2010,29027674,29229572,0.70%
Peru,2011,29264318,29477721,0.73%
Peru,2012,29506788,29749589,0.82%
Peru,2013,29773987,30038809,0.89%
Peru,2014,30090359,30353951,0.88%
Peru,2015,30470734,30711863,0.79%
Peru,2016,30926032,31132779,0.67%
Peru,2017,31444297,31605486,0.51%
Peru,2018,31989256,32203944,0.67%
Peru,2019,32510453,32824861,0.97%
Peru,2020,,33304756,#DIV/0!
Peru,2021,,33715471,#DIV/0!
Peru,2022,,0,#DIV/0!
Philippines (the),2002,81365258,81285572,-0.10%
Philippines (the),2003,83051971,82942837,-0.13%
Philippines (the),2004,84710542,84607501,-0.12%
Philippines (the),2005,86326250,86261250,-0.08%
Philippines (the),2006,87888675,87901835,0.01%
Philippines (the),2007,89405482,89561377,0.17%
Philippines (the),2008,90901965,91252326,0.39%
Philippines (the),2009,92414158,92946951,0.58%
Philippines (the),2010,93966780,94636700,0.71%
Philippines (the),2011,95570047,96337913,0.80%
Philippines (the),2012,97212638,98032317,0.84%
Philippines (the),2013,98871552,99700107,0.84%
Philippines (the),2014,100513138,101325201,0.81%
Philippines (the),2015,102113212,103031365,0.90%
Philippines (the),2016,103663927,104875266,1.17%
Philippines (the),2017,105173264,106738501,1.49%
Philippines (the),2018,106651922,108568836,1.80%
Philippines (the),2019,108116615,110380804,2.09%
Philippines (the),2020,,112190977,#DIV/0!
Philippines (the),2021,,113880328,#DIV/0!
Philippines (the),2022,,0,#DIV/0!
Romania,2002,21730496,21730496,0.00%
Romania,2003,21574326,21574326,0.00%
Romania,2004,21451748,21451748,0.00%
Romania,2005,21319685,21319685,0.00%
Romania,2006,21193760,21193760,0.00%
Romania,2007,20882982,20882982,0.00%
Romania,2008,20537875,20537875,0.00%
Romania,2009,20367487,20367487,0.00%
Romania,2010,20246871,20246871,0.00%
Romania,2011,20147528,20147528,0.00%
Romania,2012,20058035,20058035,0.00%
Romania,2013,19983693,19983693,0.00%
Romania,2014,19908979,19908979,0.00%
Romania,2015,19815616,19815616,0.00%
Romania,2016,19702267,19702267,0.00%
Romania,2017,19587290,19588715,0.01%
Romania,2018,19472545,19473970,0.01%
Romania,2019,19356544,19371648,0.08%
Romania,2020,,19265250,#DIV/0!
Romania,2021,,19119880,#DIV/0!
Romania,2022,,0,#DIV/0!
Somalia,2002,9501342,9411103,-0.95%
Somalia,2003,9815412,9758281,-0.58%
Somalia,2004,10130243,10117354,-0.13%
Somalia,2005,10446863,10467292,0.20%
Somalia,2006,10763905,10784973,0.20%
Somalia,2007,11080121,11118092,0.34%
Somalia,2008,11397188,11444870,0.42%
Somalia,2009,11717692,11730037,0.11%
Somalia,2010,12043883,12026649,-0.14%
Somalia,2011,12376302,12216837,-1.29%
Somalia,2012,12715510,12440326,-2.16%
Somalia,2013,13063706,12852485,-1.62%
Somalia,2014,13423576,13309235,-0.85%
Somalia,2015,13797201,13763906,-0.24%
Somalia,2016,14185613,14292847,0.76%
Somalia,2017,14589119,14864221,1.89%
Somalia,2018,15008154,15411094,2.68%
Somalia,2019,15442905,15981300,3.49%
Somalia,2020,,16537016,#DIV/0!
Somalia,2021,,17065581,#DIV/0!
Somalia,2022,,0,#DIV/0!
South Africa,2002,46150913,47661514,3.27%
South Africa,2003,46719196,48104048,2.96%
South Africa,2004,47291610,48556071,2.67%
South Africa,2005,47880601,49017147,2.37%
South Africa,2006,48489459,49491756,2.07%
South Africa,2007,49119759,49996094,1.78%
South Africa,2008,49779471,50565812,1.58%
South Africa,2009,50477011,51170779,1.37%
South Africa,2010,51216964,51784921,1.11%
South Africa,2011,52004172,52443325,0.84%
South Africa,2012,52834005,53145033,0.59%
South Africa,2013,53689236,53873616,0.34%
South Africa,2014,54545991,54729551,0.34%
South Africa,2015,55386367,55876504,0.88%
South Africa,2016,56203654,56422274,0.39%
South Africa,2017,57000451,56641209,-0.63%
South Africa,2018,57779622,57339635,-0.76%
South Africa,2019,58558270,58087055,-0.80%
South Africa,2020,,58801927,#DIV/0!
South Africa,2021,,59392255,#DIV/0!
South Africa,2022,,0,#DIV/0!
Sri Lanka,2002,19062482,19062476,0.00%
Sri Lanka,2003,19224037,19224036,0.00%
Sri Lanka,2004,19387153,19387153,0.00%
Sri Lanka,2005,19544988,19544988,0.00%
Sri Lanka,2006,19695972,19695977,0.00%
Sri Lanka,2007,19842044,19842044,0.00%
Sri Lanka,2008,19983984,19983984,0.00%
Sri Lanka,2009,20123508,20123508,0.00%
Sri Lanka,2010,20261737,20261738,0.00%
Sri Lanka,2011,20398670,20398496,0.00%
Sri Lanka,2012,20425000,20425000,0.00%
Sri Lanka,2013,20585000,20585000,0.00%
Sri Lanka,2014,20778000,20778000,0.00%
Sri Lanka,2015,20970000,20970000,0.00%
Sri Lanka,2016,21203000,21203000,0.00%
Sri Lanka,2017,21444000,21444000,0.00%
Sri Lanka,2018,21670000,21670000,0.00%
Sri Lanka,2019,21803000,21803000,0.00%
Sri Lanka,2020,,21919000,#DIV/0!
Sri Lanka,2021,,22156000,#DIV/0!
Sri Lanka,2022,,0,#DIV/0!
Tajikistan,2002,6426867,6541755,1.79%
Tajikistan,2003,6541547,6672492,2.00%
Tajikistan,2004,6662389,6801204,2.08%
Tajikistan,2005,6789321,6929145,2.06%
Tajikistan,2006,6922587,7057417,1.95%
Tajikistan,2007,7062672,7188391,1.78%
Tajikistan,2008,7209930,7324627,1.59%
Tajikistan,2009,7364753,7468596,1.41%
Tajikistan,2010,7527394,7621779,1.25%
Tajikistan,2011,7697510,7784819,1.13%
Tajikistan,2012,7874835,7956382,1.04%
Tajikistan,2013,8059769,8136610,0.95%
Tajikistan,2014,8252833,8326348,0.89%
Tajikistan,2015,8454028,8524063,0.83%
Tajikistan,2016,8663579,8725318,0.71%
Tajikistan,2017,8880268,8925525,0.51%
Tajikistan,2018,9100837,9128132,0.30%
Tajikistan,2019,9321018,9337003,0.17%
Tajikistan,2020,,9543207,#DIV/0!
Tajikistan,2021,,9750064,#DIV/0!
Tajikistan,2022,,0,#DIV/0!
Viet Nam,2002,81534407,80642308,-1.09%
Viet Nam,2003,82301656,81475825,-1.00%
Viet Nam,2004,83062821,82311227,-0.90%
Viet Nam,2005,83832661,83142095,-0.82%
Viet Nam,2006,84617540,83951800,-0.79%
Viet Nam,2007,85419591,84762269,-0.77%
Viet Nam,2008,86243413,85597241,-0.75%
Viet Nam,2009,87092252,86482923,-0.70%
Viet Nam,2010,87967651,87411012,-0.63%
Viet Nam,2011,88871561,88349117,-0.59%
Viet Nam,2012,89802487,89301326,-0.56%
Viet Nam,2013,90753472,90267739,-0.54%
Viet Nam,2014,91714595,91235504,-0.52%
Viet Nam,2015,92677076,92191398,-0.52%
Viet Nam,2016,93638724,93126529,-0.55%
Viet Nam,2017,94596642,94033048,-0.60%
Viet Nam,2018,95540395,94914330,-0.66%
Viet Nam,2019,96462106,95776716,-0.71%
Viet Nam,2020,,96648685,#DIV/0!
Viet Nam,2021,,97468029,#DIV/0!
Viet Nam,2022,,0,#DIV/0!
Yemen,2002,18443691,19660653,6.60%
Yemen,2003,18985000,20188799,6.34%
Yemen,2004,19540098,20733406,6.11%
Yemen,2005,20107409,21320671,6.03%
Yemen,2006,20687646,21966298,6.18%
Yemen,2007,21282515,22641538,6.39%
Yemen,2008,21892146,23329004,6.56%
Yemen,2009,22516460,24029589,6.72%
Yemen,2010,23154855,24743946,6.86%
Yemen,2011,23807588,25475610,7.01%
Yemen,2012,24473178,26223391,7.15%
Yemen,2013,25147109,26984002,7.30%
Yemen,2014,25823485,27753304,7.47%
Yemen,2015,26497889,28516545,7.62%
Yemen,2016,27168210,29274002,7.75%
Yemen,2017,27834821,30034389,7.90%
Yemen,2018,28498687,30790513,8.04%
Yemen,2019,29161922,31546691,8.18%
Yemen,2020,,32284046,#DIV/0!
Yemen,2021,,32981641,#DIV/0!
Yemen,2022,,0,#DIV/0!
